gen,inventor,assignee,location,id,similarity,claims,root
2,64.0,17.0,15.0,35.0,0.2538805533109641,15.317073170731707,5283658
3,191.0,35.0,32.0,184.0,0.25150546078713465,14.980769230769232,5283658
1,53.0,9.0,8.0,41.0,0.2893509788484108,19.02439024390244,6258108
2,272.0,64.0,61.0,195.0,0.3050165457394102,17.456896551724142,6258108
3,1766.0,252.0,197.0,1604.0,0.27463112382863514,19.154284087674352,6258108
1,9.0,4.0,4.0,4.0,0.15221774764358995,19.5,5113399
2,105.0,26.0,26.0,61.0,0.2542856777789163,22.852459016393446,5113399
3,1067.0,148.0,136.0,923.0,0.22050271304758828,18.549862763037513,5113399
1,47.0,14.0,11.0,16.0,0.14903340279124674,13.6875,5061703
2,109.0,31.0,32.0,50.0,0.26982385485336696,16.775862068965516,5061703
3,850.0,218.0,202.0,682.0,0.3831245712959049,20.24705152079454,5061703
1,14.0,6.0,6.0,11.0,0.3968451050194827,12.454545454545455,4319747
2,96.0,51.0,47.0,65.0,0.2943575737828558,14.87878787878788,4319747
3,2266.0,859.0,644.0,2135.0,0.2647360629006158,20.63771078180889,4319747
1,14.0,4.0,5.0,5.0,0.3499310612678528,16.6,5360901
2,45.0,9.0,8.0,17.0,0.3791657098952462,19.705882352941178,5360901
3,76.0,13.0,14.0,49.0,0.4122314884194306,11.904761904761903,5360901
1,50.0,18.0,18.0,26.0,0.20213418582884168,18.69230769230769,6230497
2,261.0,79.0,79.0,113.0,0.23016411285468585,22.347457627118644,6230497
3,1969.0,459.0,352.0,1429.0,0.2377779521791822,21.154816112084067,6230497
1,42.0,11.0,11.0,21.0,0.2614918287311281,14.285714285714285,4687540
2,246.0,52.0,50.0,101.0,0.27507932918767136,14.901960784313724,4687540
3,2358.0,354.0,273.0,1782.0,0.2436560219376053,24.219042274597825,4687540
1,9.0,3.0,4.0,3.0,0.2195917268594106,13.333333333333336,5109633
2,43.0,11.0,9.0,17.0,0.2783956168329014,15.470588235294118,5109633
3,83.0,25.0,27.0,36.0,0.2447336075153757,15.042553191489361,5109633
1,8.0,4.0,5.0,5.0,0.3132361471652985,14.4,5043079
2,111.0,42.0,38.0,49.0,0.29696319461324994,17.836734693877553,5043079
3,2122.0,672.0,543.0,1526.0,0.2501904263655733,19.93694493783304,5043079
1,2.0,1.0,1.0,1.0,0.3544672429561615,8.0,6046020
2,,,,,,,6046020
3,,,,,,,6046020
1,27.0,8.0,9.0,13.0,0.23014825238631326,22.84615384615385,5450070
2,527.0,167.0,142.0,289.0,0.2081974802317761,23.864406779661017,5450070
3,31280.0,4516.0,2194.0,28112.0,0.2140552734590283,22.551691592856105,5450070
1,10.0,3.0,4.0,4.0,0.2228233367204666,16.0,5912959
2,11.0,5.0,5.0,6.0,0.4453646143277486,13.833333333333336,5912959
3,1.0,1.0,1.0,1.0,0.2681997716426849,18.0,5912959
1,34.0,5.0,8.0,13.0,0.4499115783434648,12.769230769230768,5229248
2,69.0,9.0,14.0,35.0,0.4267841417135464,17.75,5229248
3,261.0,34.0,37.0,149.0,0.40210198854893137,15.123711340206185,5229248
1,22.0,6.0,6.0,8.0,0.29024265706539154,12.625,5747075
2,95.0,21.0,19.0,64.0,0.2340316273039207,28.109375,5747075
3,438.0,89.0,91.0,250.0,0.30496743981050545,16.118203309692667,5747075
1,9.0,3.0,4.0,5.0,0.3728451102972031,17.6,6027903
2,4.0,1.0,2.0,2.0,0.32779765129089355,9.5,6027903
3,45.0,2.0,2.0,11.0,0.22029141539877112,18.0,6027903
1,2.0,1.0,1.0,1.0,0.5714559555053711,10.0,4255452
2,10.0,4.0,5.0,6.0,0.4082613239685695,27.0,4255452
3,61.0,15.0,14.0,90.0,0.31703269565287895,30.132653061224488,4255452
1,11.0,3.0,3.0,7.0,0.30944904897894177,20.0,5876695
2,14.0,5.0,5.0,4.0,0.3525625616312027,11.5,5876695
3,14.0,3.0,4.0,6.0,0.3874778052171071,28.66666666666667,5876695
1,11.0,1.0,1.0,2.0,0.3718059659004211,7.0,5039209
2,41.0,13.0,11.0,17.0,0.20872634769800832,12.058823529411766,5039209
3,619.0,115.0,104.0,419.0,0.23568224370798194,19.561403508771928,5039209
1,6.0,3.0,4.0,5.0,0.3386234521865845,17.2,5305692
2,18.0,8.0,8.0,8.0,0.307748407125473,11.375,5305692
3,70.0,17.0,20.0,62.0,0.2066635329897205,22.777777777777782,5305692
1,,,,,,,4236552
2,4.0,1.0,1.0,1.0,0.24466776847839355,15.0,4236552
3,164.0,54.0,54.0,99.0,0.22504575076699254,15.112,4236552
1,8.0,2.0,3.0,4.0,0.053548550233244896,16.25,4439039
2,133.0,29.0,27.0,56.0,0.2698004144563604,22.328358208955226,4439039
3,852.0,173.0,137.0,698.0,0.23733152293976634,23.677659574468088,4439039
1,21.0,7.0,7.0,7.0,0.22207264602184296,16.285714285714285,4870527
2,134.0,49.0,49.0,67.0,0.2403505188760473,17.074626865671643,4870527
3,1130.0,276.0,243.0,802.0,0.261474999954242,20.245979186376537,4870527
1,10.0,4.0,4.0,4.0,0.2467315718531609,14.75,6178830
2,10.0,3.0,3.0,3.0,0.33681066085894895,11.333333333333336,6178830
3,21.0,6.0,6.0,11.0,0.2586491956160619,17.846153846153847,6178830
1,6.0,2.0,2.0,2.0,0.2381778359413147,13.5,5956237
2,8.0,6.0,6.0,6.0,0.27183576176563895,16.5,5956237
3,32.0,10.0,10.0,20.0,0.2195877321064472,16.9,5956237
1,20.0,5.0,5.0,9.0,0.3014527410268784,8.777777777777779,5434503
2,87.0,24.0,22.0,38.0,0.3015973219648004,10.75,5434503
3,697.0,112.0,101.0,462.0,0.2523606339706242,15.313075506445673,5434503
1,17.0,4.0,4.0,8.0,0.3444680850952864,12.25,4840139
2,142.0,32.0,32.0,53.0,0.25854494201916234,17.12962962962963,4840139
3,2333.0,364.0,275.0,1449.0,0.2219816753560571,18.58826695371367,4840139
1,9.0,5.0,5.0,6.0,0.19026178866624832,16.333333333333332,4264270
2,34.0,9.0,11.0,18.0,0.23881247970792985,15.388888888888891,4264270
3,172.0,44.0,44.0,85.0,0.2118642649760372,14.68421052631579,4264270
1,12.0,6.0,6.0,6.0,0.2567073206106822,14.166666666666664,4242872
2,133.0,49.0,51.0,68.0,0.2388524648334299,17.84285714285714,4242872
3,1644.0,413.0,357.0,1113.0,0.24315589815133576,18.786034593209482,4242872
1,3.0,3.0,3.0,2.0,0.4104438722133637,13.0,5045384
2,26.0,9.0,10.0,14.0,0.22651465695637926,15.769230769230768,5045384
3,461.0,114.0,100.0,404.0,0.19146304260480254,19.545774647887324,5045384
1,7.0,3.0,3.0,3.0,0.30553320050239563,22.0,5252307
2,18.0,6.0,7.0,7.0,0.20624847284385134,12.857142857142858,5252307
3,54.0,16.0,18.0,71.0,0.12939867610767694,16.760563380281695,5252307
1,10.0,3.0,3.0,4.0,0.3442058712244034,14.25,4434952
2,35.0,15.0,15.0,21.0,0.21180317125150136,17.333333333333332,4434952
3,376.0,130.0,125.0,244.0,0.26390594854950905,18.206666666666667,4434952
1,8.0,3.0,4.0,7.0,0.16069204626338826,30.57142857142857,5373839
2,20.0,8.0,8.0,10.0,0.28356782414696435,15.363636363636365,5373839
3,59.0,21.0,21.0,40.0,0.22827323991805315,16.95,5373839
1,5.0,3.0,3.0,4.0,0.3148679807782173,8.75,5177609
2,84.0,30.0,25.0,41.0,0.2268135957874176,16.853658536585368,5177609
3,774.0,177.0,128.0,562.0,0.2272251789891043,18.949177877428998,5177609
1,11.0,4.0,4.0,4.0,0.1616080403327942,20.25,4813382
2,31.0,11.0,11.0,14.0,0.29737101601702826,13.642857142857142,4813382
3,223.0,28.0,33.0,278.0,0.14567126373803574,12.443708609271527,4813382
1,12.0,6.0,6.0,6.0,0.2639834880828857,13.0,4211692
2,157.0,56.0,52.0,95.0,0.2874933976091837,18.4,4211692
3,2340.0,531.0,415.0,1472.0,0.290152222728116,22.858084135833764,4211692
1,19.0,6.0,8.0,8.0,0.3173570726066828,26.0,5627888
2,291.0,76.0,73.0,154.0,0.2216956572026595,20.818181818181817,5627888
3,6362.0,798.0,455.0,4993.0,0.2216456643142671,22.32309365230393,5627888
1,2.0,1.0,1.0,1.0,0.1218707263469696,10.0,5509467
2,2.0,2.0,2.0,2.0,0.17285726964473724,15.5,5509467
3,14.0,3.0,5.0,16.0,0.3153486391529441,19.6875,5509467
1,,,,,,,5067329
2,18.0,10.0,10.0,21.0,0.16152081230566614,17.714285714285715,5067329
3,202.0,82.0,77.0,141.0,0.2274771516935693,16.47222222222222,5067329
1,8.0,4.0,4.0,4.0,0.3163523301482201,20.5,5338228
2,28.0,11.0,11.0,12.0,0.1907671132745842,15.0,5338228
3,199.0,53.0,53.0,99.0,0.2553653902241162,17.266666666666666,5338228
1,23.0,6.0,7.0,21.0,0.11925525688344525,28.523809523809533,5361247
2,301.0,70.0,61.0,185.0,0.17718222914312368,19.083769633507853,5361247
3,2164.0,344.0,243.0,1594.0,0.248397567694458,18.71752903907075,5361247
1,4.0,3.0,3.0,3.0,0.2771223336458206,15.333333333333336,5137247
2,96.0,32.0,33.0,46.0,0.2336850086847941,16.511111111111113,5137247
3,868.0,191.0,180.0,895.0,0.29899577250927345,24.5073732718894,5137247
1,14.0,5.0,4.0,3.0,0.17093795041243234,8.333333333333334,6006588
2,14.0,4.0,4.0,12.0,0.2519731608529885,24.33333333333333,6006588
3,,,,,,,6006588
1,2.0,2.0,2.0,5.0,0.1943222090601921,16.0,6016920
2,4.0,2.0,2.0,2.0,0.31572723388671875,21.0,6016920
3,1.0,1.0,1.0,1.0,0.3291419148445129,18.0,6016920
1,,,,,,,4148279
2,1.0,1.0,1.0,1.0,0.2427981197834015,15.0,4148279
3,303.0,58.0,59.0,404.0,0.22197380365387906,22.87378640776699,4148279
1,28.0,11.0,12.0,13.0,0.32509273290634155,14.076923076923075,4460058
2,111.0,36.0,35.0,69.0,0.2697129847150143,11.205479452054794,4460058
3,584.0,130.0,112.0,342.0,0.28221708601685586,13.810185185185185,4460058
1,25.0,6.0,6.0,10.0,0.29907078593969344,22.5,5711833
2,77.0,25.0,23.0,42.0,0.2764303671816985,17.523809523809526,5711833
3,201.0,52.0,54.0,108.0,0.2873059748086387,16.526946107784433,5711833
1,61.0,9.0,10.0,18.0,0.25971704224745434,24.83333333333333,6295816
2,240.0,49.0,46.0,121.0,0.2604367457165876,19.360294117647054,6295816
3,1312.0,145.0,149.0,801.0,0.2696951863021227,17.24976167778837,6295816
1,7.0,4.0,6.0,9.0,0.2510387930605147,31.0,5049202
2,33.0,11.0,12.0,13.0,0.30057074842245685,15.391304347826088,5049202
3,23.0,12.0,9.0,12.0,0.2501745540648699,15.916666666666664,5049202
1,22.0,7.0,7.0,7.0,0.3052723024572645,18.0,4186311
2,81.0,29.0,27.0,36.0,0.2140496594624387,14.25,4186311
3,749.0,235.0,214.0,500.0,0.26815127340117795,19.34501347708895,4186311
1,2.0,1.0,1.0,1.0,0.21765604615211487,10.0,4848049
2,11.0,6.0,6.0,8.0,0.2638739412650466,13.375,4848049
3,318.0,129.0,123.0,225.0,0.2614454114011356,17.991836734693877,4848049
1,18.0,3.0,3.0,4.0,0.14577117934823036,13.0,4642208
2,149.0,40.0,34.0,64.0,0.20883532862823745,24.830769230769228,4642208
3,1793.0,233.0,178.0,1233.0,0.2444283009412417,18.34748160724392,4642208
1,,,,,,,4434740
2,1.0,1.0,1.0,1.0,0.26393669843673706,26.0,4434740
3,150.0,70.0,73.0,99.0,0.24947693137400745,16.256880733944953,4434740
1,31.0,14.0,15.0,18.0,0.3142008516523573,18.277777777777782,5399074
2,151.0,54.0,48.0,67.0,0.2471167440858803,21.297619047619047,5399074
3,4856.0,962.0,691.0,4206.0,0.2678164002289237,21.127464648476398,5399074
1,52.0,18.0,15.0,22.0,0.2565389289944009,26.72727272727273,6122635
2,207.0,55.0,43.0,83.0,0.250316562308442,24.66666666666667,6122635
3,1056.0,178.0,123.0,789.0,0.2162194394083837,25.365384615384613,6122635
1,27.0,12.0,10.0,16.0,0.1862509921193123,15.8125,4750370
