Unnamed: 0,gen,id,assignee,location,inventor,similarity,nber,root,comparative,claims
0,1.0,4.0,3.0,3.0,16.0,0.19551539813217364,1.0,4962875.0,0.0,
1,2.0,5.0,4.0,4.0,13.0,0.26169525545377,1.0,4962875.0,0.0,
2,3.0,,,,,,,4962875.0,,
0,1.0,0.0,1.0,1.0,4.0,0.19551539813217364,0.0,4962875.0,1.0,
1,2.0,0.0,0.0,0.0,0.0,0.26169525545377,0.0,4962875.0,1.0,
2,3.0,0.0,0.0,0.0,0.0,,0.0,4962875.0,1.0,
0,1.0,1.0,1.0,1.0,3.0,0.437036395072937,1.0,6207286.0,0.0,
1,2.0,1.0,1.0,1.0,5.0,0.20014622807502747,1.0,6207286.0,0.0,
2,3.0,2.0,2.0,1.0,3.0,0.3730808734893799,1.0,6207286.0,0.0,
0,1.0,0.0,0.0,0.0,0.0,0.437036395072937,0.8325546111576977,6207286.0,1.0,
1,2.0,0.0,1.0,1.0,1.0,0.20014622807502747,0.8325546111576977,6207286.0,1.0,
2,3.0,0.0,0.0,0.0,0.0,0.3730808734893799,0.8325546111576977,6207286.0,1.0,
0,1.0,193.0,38.0,37.0,205.0,0.1750581761230236,13.0,4651564.0,0.0,
1,2.0,2545.0,604.0,460.0,3133.0,0.2407241171098323,32.0,4651564.0,0.0,
2,3.0,18735.0,3022.0,1715.0,21894.0,0.2334134850146363,35.0,4651564.0,0.0,
0,1.0,132.0,31.0,32.0,162.0,0.1750581761230236,0.2264379386165336,4651564.0,1.0,
1,2.0,2168.0,547.0,431.0,2806.0,0.2407241171098323,0.35928509374911555,4651564.0,1.0,
2,3.0,142.0,33.0,31.0,170.0,0.2334134850146363,0.20987406023374644,4651564.0,1.0,
0,1.0,6.0,4.0,4.0,8.0,0.30807526575194466,1.0,5291810.0,0.0,
1,2.0,21.0,14.0,17.0,33.0,0.3017957458893458,1.0,5291810.0,0.0,
2,3.0,30.0,24.0,25.0,51.0,0.2384060605441871,7.0,5291810.0,0.0,
0,1.0,1.0,2.0,2.0,5.0,0.30807526575194466,0.0,5291810.0,1.0,
1,2.0,4.0,6.0,6.0,8.0,0.3017957458893458,0.3269504627904001,5291810.0,1.0,
2,3.0,0.0,1.0,1.0,0.0,0.2384060605441871,0.3269504627904001,5291810.0,1.0,
0,1.0,6.0,6.0,6.0,7.0,0.3928394147327968,3.0,4372077.0,0.0,
1,2.0,115.0,77.0,71.0,178.0,0.28726022295290377,11.0,4372077.0,0.0,
2,3.0,1209.0,519.0,402.0,1621.0,0.2385542650740212,30.0,4372077.0,0.0,
0,1.0,2.0,2.0,2.0,2.0,0.3928394147327968,0.2605832576476241,4372077.0,1.0,
1,2.0,77.0,55.0,55.0,134.0,0.28726022295290377,0.3853455744497355,4372077.0,1.0,
2,3.0,1.0,2.0,3.0,2.0,0.2385542650740212,0.24334475487715185,4372077.0,1.0,
0,1.0,6.0,6.0,6.0,17.0,0.31042873624124023,1.0,6154471.0,0.0,
1,2.0,19.0,16.0,16.0,35.0,0.28793950895873865,4.0,6154471.0,0.0,
2,3.0,157.0,50.0,43.0,244.0,0.2009253912810202,8.0,6154471.0,0.0,
0,1.0,0.0,2.0,3.0,5.0,0.31042873624124023,0.33742411863263044,6154471.0,1.0,
