id,num_edge,num_patents,edge_density,unq_assignees,unq_inventors,unq_loc,avg_claims,avg_sim
4962875,9,9,1.0,6,25,6,16.555555555555557,0.23215017136600283
6207286,4,4,1.0,3,10,2,8.0,0.34588176012039185
4651564,45578,19149,2.380176510522743,3083,22246,1746,20.10465664449217,0.24305878849058316
5291810,63,52,1.2115384615384615,34,79,38,15.27450980392157,0.2614689761743186
4372077,1829,1251,1.4620303756994404,545,1670,421,20.593424218123495,0.24746910324691912
6154471,184,180,1.0222222222222221,66,284,56,22.06111111111111,0.21338235743789244
5423331,72426,2939,24.643075876148348,419,3168,347,17.70980926430518,0.27854563107186214
5300610,7,7,1.0,4,11,4,15.571428571428571,0.38379430770874023
5340206,3604,1275,2.8266666666666667,318,1619,274,18.465408805031448,0.2344602159182846
5970472,82262,34504,2.3841293763041964,4240,42290,1708,21.440045314587813,0.23443917025961425
6096830,1036,399,2.5964912280701755,35,240,35,13.481203007518797,0.4497419499781371
5959975,112,64,1.75,24,105,24,19.109375,0.22957822431011923
5436122,31,26,1.1923076923076923,5,28,6,15.5,0.4584871657613304
4185381,1493,588,2.5391156462585034,162,738,158,17.7679180887372,0.2949567015113762
4138356,5308,3274,1.6212583995113012,879,4382,632,22.735554876184654,0.26970357692878716
5198935,567,460,1.232608695652174,150,664,125,16.18736383442266,0.23757991789654553
4692648,19,19,1.0,5,18,5,14.947368421052632,0.18110314874272598
6140831,153,137,1.1167883211678833,33,120,34,18.566176470588236,0.20668207844293196
6103821,1,1,1.0,1,1,1,9.0,0.2878018319606781
5637587,4,3,1.3333333333333333,1,7,2,8.333333333333334,0.26479120552539825
4588750,932,719,1.2962447844228095,179,963,166,20.165969316596932,0.26971469478593746
5404011,493,337,1.4629080118694362,66,352,65,21.235119047619047,0.3550234579653092
5026598,189,177,1.0677966101694916,83,328,62,17.02857142857143,0.29302737753463803
4430375,2978,1421,2.095707248416608,429,1789,374,19.735915492957748,0.3074859858245343
4183971,572,369,1.5501355013550135,130,558,124,19.601626016260163,0.3202038539697292
5073231,302,245,1.2326530612244897,72,356,70,17.277551020408165,0.22450746714896122
4820599,7801,3177,2.455461126849229,652,4516,497,19.523329129886505,0.2958614952135738
6096518,1,1,1.0,1,1,1,18.0,0.8106334209442139
5305371,2272,1460,1.5561643835616439,235,1534,188,23.878099173553718,0.21152889316562976
5594323,4954,2895,1.7112262521588946,643,3543,461,19.721260387811633,0.2205540933349231
5107846,4658,2518,1.8498808578236696,672,3476,519,20.08744038155803,0.2602563375166769
5388452,5506,3001,1.8347217594135288,729,3979,482,20.282136894824706,0.2370389803930217
4695975,97808,45775,2.1367121791370836,5744,53291,2166,22.114302011803165,0.22037127359741393
5744376,15624,7584,2.060126582278481,662,8840,461,18.780651973076417,0.2637035007926258
4474263,177,140,1.2642857142857142,95,188,91,15.878571428571428,0.2646685537308623
5186357,681,395,1.7240506329113925,208,677,182,19.083756345177665,0.24598279131765144
6148233,27026,8780,3.078132118451025,1349,8856,818,21.230128863040257,0.24797025864719513
5821336,111,68,1.6323529411764706,20,129,19,22.36764705882353,0.33338435209012246
5311948,351,278,1.2625899280575539,80,396,80,23.55956678700361,0.2573726807596252
5757107,441,291,1.5154639175257731,83,416,67,16.43448275862069,0.26689044475690576
6092903,3833,2023,1.8947108255066734,389,2441,307,21.547524752475248,0.22744604664279192
5129641,872,759,1.1488801054018445,220,1292,202,16.91545574636724,0.24706456342011418
5729777,544,296,1.837837837837838,86,359,79,21.39322033898305,0.2668963188035003
5416033,1093,983,1.1119023397761953,110,1261,98,16.85554425228891,0.22209735987631285
5825940,37,35,1.0571428571428572,14,55,12,15.914285714285715,0.258402225133535
6236622,4930,1006,4.900596421471173,292,1392,233,18.58565737051793,0.3320571631185605
6038025,878,279,3.1469534050179213,59,322,60,20.00361010830325,0.33340379536355547
5512816,1265,1082,1.1691312384473198,264,1361,188,18.27079482439926,0.2666758342914784
4566750,670,591,1.1336717428087986,175,799,151,18.286926994906622,0.22423693615275977
5801461,9,8,1.125,6,22,7,15.125,0.25565948088963825
5441354,223,201,1.109452736318408,33,211,37,13.845771144278608,0.2437728588289744
4324897,12,12,1.0,5,18,6,11.083333333333334,0.37064478173851967
5165921,4307,898,4.796213808463252,226,1242,188,23.219620958751392,0.3410101116879034
5625899,126,87,1.4482758620689655,49,155,48,18.35632183908046,0.28586101957729887
5461226,846,530,1.5962264150943397,138,700,133,19.685009487666033,0.17969064836348483
5024143,64,40,1.6,21,83,21,12.15,0.3029338337946683
4534727,520,354,1.4689265536723164,132,417,133,18.692307692307693,0.2537845761730121
4804804,1307,777,1.6821106821106822,245,1216,234,19.6520618556701,0.23544134167981404
4541109,824,565,1.4584070796460178,166,912,128,19.08896797153025,0.2144556083112901
5758237,302,259,1.166023166023166,74,457,65,17.209302325581394,0.28750197115101367
6244215,616,204,3.019607843137255,23,132,27,17.558823529411764,0.31744305178668203
4765754,296,243,1.2181069958847737,100,403,83,15.21161825726141,0.24788353050983436
5653936,8,7,1.1428571428571428,5,11,5,17.714285714285715,0.27369963377714157
5911152,738,605,1.2198347107438017,153,758,109,20.105960264900663,0.20911995614790496
5398313,9818,5792,1.695096685082873,889,8432,498,22.163463203463202,0.21884923923825927
6230319,11486,6011,1.9108301447346532,884,8154,525,21.429404900816802,0.20837219909293078
4873049,261,192,1.359375,77,377,70,15.209424083769633,0.2766367724857568
4893005,10106,4999,2.021604320864173,1122,5963,813,21.35193736197551,0.2093867985760762
5186355,429,306,1.4019607843137254,130,546,120,20.970588235294116,0.217760989485886
