,id,lineage,similarity,hops,combination,inventor_sim
7863,6839463,6384839,0.25274357199668884,3,3,0.32797610237632574
7864,7995019,6384839,0.23100203275680545,3,6,0.4993833583518838
7865,7006107,6384839,0.3003808856010437,3,3,0.33302411928042586
7866,7102655,6384839,0.2198532223701477,3,6,0.4996344080659485
7867,8532170,6384839,0.1748582124710083,3,6,0.49955827360938015
7868,8952883,6384839,0.05827900022268295,3,10,0.5985274034383445
7869,9953590,6384839,0.19921943545341486,3,10,0.5993909531813761
7870,8289266,6384839,0.13489700853824615,3,6,0.4993833583518838
7871,7271816,6384839,0.19907955825328827,3,6,0.4996344080659485
7872,7425960,6384839,0.2843846082687378,3,3,0.33309178066140754
7873,8063913,6384839,0.150126114487648,3,3,0.33272744985783753
7874,8472747,6384839,0.13903926312923431,3,3,0.33302412995121405
7875,7136083,6384839,0.17432835698127747,3,6,0.4996344080659485
7876,10105121,6384839,0.07687266916036606,3,3,0.33317130396028377
7877,7006109,6384839,0.2537684142589569,3,6,0.4996344080659485
7878,6766052,6384839,0.2032628059387207,3,6,0.4996311204495301
7879,7639258,6384839,0.20931792259216309,3,3,0.33302411928042586
7880,7697012,6384839,0.2433517575263977,3,6,0.4994982051859354
7881,7142219,6384839,0.16244396567344666,3,6,0.4996344080659485
7882,7219309,6188385,0.32432758808135986,2,21,0.7429224847579929
7883,9342864,7219309,0.08291666954755783,3,15,0.712580135887512
7884,8463249,7219309,0.2057785242795944,3,10,0.5978449628634344
7885,7702318,7219309,0.2154695838689804,3,10,0.5978449628634344
7886,8467774,7219309,0.2120474874973297,3,10,0.5978449628634344
7887,8515401,7219309,0.2251979112625122,3,10,0.5978449628634344
7888,8041717,7219309,0.21133753657341006,3,10,0.5978449628634344
7889,8483674,7219309,0.2064189165830612,3,10,0.5978449628634344
7890,8989718,7219309,0.1445917934179306,3,15,0.6440887673579245
7891,8311888,7219309,0.15112453699111938,3,10,0.5978449628634344
7892,9703892,7219309,0.07583475112915039,3,10,0.5978449628634344
7893,8515400,7219309,0.22388432919979093,3,10,0.5978449628634344
7894,9003309,7219309,0.210356205701828,3,3,0.33277542946537814
7895,8433297,7219309,0.19633418321609494,3,10,0.5978449628634344
7896,8620285,7219309,0.1126011535525322,3,15,0.6440887673579245
7897,8483671,7219309,0.20064063370227814,3,10,0.5978449628634344
7898,8843395,7219309,0.0746256560087204,3,10,0.5978449628634344
7899,7865187,7219309,0.20285870134830475,3,10,0.5978449628634344
7900,8494500,7219309,0.2051827758550644,3,10,0.5978449628634344
7901,8023738,7219309,0.2415604293346405,3,21,0.7312892974648406
7902,10055428,7219309,0.1314137578010559,3,6,0.556324210442557
7903,8533628,7219309,0.1992444097995758,3,6,0.7432720866951464
7904,8307279,7219309,0.2833721935749054,3,6,0.6546803883871918
7905,10038756,7219309,0.14997093379497528,3,10,0.5978449628634344
7906,8639721,7219309,0.185651034116745,3,6,0.633029500854552
7907,8688088,7219309,0.20006784796714785,3,10,0.5978449628634344
7908,10042950,7219309,0.29924851655960083,3,3,0.33277542946537814
7909,8798592,7219309,0.17390070855617526,3,10,0.5978449628634344
7910,8538812,7219309,0.19245949387550354,3,10,0.5978449628634344
7911,8457607,7219309,0.20857319235801694,3,10,0.5978449628634344
7912,9129304,7219309,0.07848118245601654,3,3,0.33277542946537814
7913,8812978,7219309,0.3287481665611267,3,15,0.8450537904908292
7914,8238888,7219309,0.21093490719795227,3,15,0.6440887673579245
7915,8296184,7219309,0.16711898148059845,3,10,0.5978449628634344
7916,9153043,7219309,0.016236856579780582,3,6,0.6499226440730238
7917,8509750,7219309,0.2156493365764618,3,10,0.5978449628634344
7918,8572480,7219309,0.2253545820713043,3,10,0.66036498792351
7919,9201979,7219309,0.05530080199241638,3,10,0.5978449628634344
7920,9386150,7219309,0.1282588690519333,3,10,0.5978449628634344
7921,7844889,7219309,0.2467027753591537,3,6,0.7432720866951464
7922,9519729,7219309,0.19662931561470032,3,6,0.7432720866951464
7923,9076175,7219309,0.11903418600559235,3,10,0.5978449628634344
7924,9208133,7219309,0.24314236640930176,3,6,0.6233856664192613
7925,9348495,7219309,0.06460293382406235,3,15,0.7354242724987312
7926,8200205,7219309,0.2297983765602112,3,10,0.5978449628634344
7927,8175585,7219309,0.22091111540794373,3,10,0.5978449628634344
7928,9389759,7219309,0.1949811428785324,3,15,0.7817061798295565
7929,9271023,7219309,0.14159910380840302,3,10,0.5978449628634344
7930,8290810,7219309,0.15653792023658752,3,15,0.6440887673579245
7931,8064727,7219309,0.21052689850330356,3,3,0.33277542946537814
7932,9058406,7219309,0.10342997312545776,3,6,0.5585126654325415
7933,8843396,7219309,0.1025940403342247,3,10,0.5978449628634344
7934,7907940,7219309,0.22145989537239075,3,10,0.5978449628634344
7935,8413048,7219309,0.26875370740890503,3,21,0.7312892974648406
7936,8995973,7219309,0.12085747718811035,3,10,0.5978449628634344
7937,8819659,7219309,0.13592681288719174,3,10,0.5978449628634344
7938,7831926,7219309,0.25131189823150635,3,6,0.7432720866951464
7939,10127194,7219309,0.2640687525272369,3,3,0.33277542946537814
7940,8270955,7219309,0.2277267575263977,3,10,0.5978449628634344
7941,9292582,7219309,0.12950651347637174,3,6,0.6680062679925691
7942,8316031,7219309,0.18683409690856934,3,10,0.5978449628634344
7943,8195133,7219309,0.1946663409471512,3,15,0.6440887673579245
7944,8751945,7219309,0.11589080095291138,3,15,0.7817061798295565
7945,8489077,7219309,0.19519159197807312,3,10,0.5978449628634344
