num_roots,num_fine_roots,num_patents,total_citation,avg_citation
4,7,24,725,30.208333333333332
3,8,11,120,10.909090909090908
3,5,15,1522,101.46666666666667
4,9,109,2477,22.724770642201836
1,3,7,23,3.2857142857142856
3,4,10,333,33.3
3,5,17,609,35.8235294117647
4,6,21,142,6.761904761904762
6,19,437,2111,4.830663615560641
2,3,27,205,7.592592592592593
4,5,16,388,24.25
2,3,9,64,7.111111111111111
2,5,18,705,39.166666666666664
3,3,7,35,5.0
3,4,6,94,15.666666666666666
6,13,60,951,15.85
6,25,784,12545,16.00127551020408
1,1,5,42,8.4
3,9,33,599,18.151515151515152
3,5,7,27,3.857142857142857
2,4,10,71,7.1
2,2,13,48,3.6923076923076925
1,1,1,4,4.0
2,4,15,64,4.266666666666667
4,6,7,247,35.285714285714285
1,1,3,14,4.666666666666667
3,7,14,102,7.285714285714286
3,6,36,1294,35.94444444444444
7,23,383,6494,16.9556135770235
1,2,9,89,9.88888888888889
1,3,25,924,36.96
1,1,1,3,3.0
5,21,552,5991,10.853260869565217
2,2,3,28,9.333333333333334
3,5,16,117,7.3125
5,11,43,466,10.837209302325581
2,3,10,95,9.5
1,1,2,10,5.0
2,2,4,26,6.5
2,2,13,91,7.0
2,4,8,28,3.5
3,4,11,85,7.7272727272727275
4,7,14,132,9.428571428571429
5,11,76,1510,19.86842105263158
5,5,15,188,12.533333333333333
6,14,42,585,13.928571428571429
1,2,2,3,1.5
3,4,15,904,60.266666666666666
4,10,44,360,8.181818181818182
1,2,7,64,9.142857142857142
4,5,8,122,15.25
2,3,15,268,17.866666666666667
2,2,2,10,5.0
2,2,9,52,5.777777777777778
2,2,9,58,6.444444444444445
2,2,22,300,13.636363636363637
2,6,42,819,19.5
1,1,2,15,7.5
3,3,10,351,35.1
5,6,12,436,36.333333333333336
3,6,9,78,8.666666666666666
3,6,54,691,12.796296296296296
5,16,84,848,10.095238095238095
4,7,31,146,4.709677419354839
2,3,11,916,83.27272727272727
1,2,5,43,8.6
1,1,1,8,8.0
1,1,6,110,18.333333333333332
4,15,707,5281,7.469589816124469
2,2,9,86,9.555555555555555
5,8,25,141,5.64
3,4,5,36,7.2
1,2,12,179,14.916666666666666
1,1,4,16,4.0
4,8,13,375,28.846153846153847
4,4,19,783,41.21052631578947
3,4,9,94,10.444444444444445
1,1,1,1,1.0
5,11,113,1228,10.867256637168142
4,9,208,12548,60.32692307692308
2,6,62,1090,17.580645161290324
2,10,21,152,7.238095238095238
2,4,16,339,21.1875
3,5,16,72,4.5
5,12,48,620,12.916666666666666
1,1,6,16,2.6666666666666665
2,3,4,58,14.5
3,3,29,131,4.517241379310345
2,3,3,42,14.0
4,5,10,66,6.6
4,9,23,143,6.217391304347826
2,2,6,32,5.333333333333333
5,15,139,685,4.928057553956834
4,6,9,43,4.777777777777778
1,1,1,2,2.0
2,2,3,157,52.333333333333336
5,21,595,10392,17.465546218487393
1,1,1,11,11.0
1,2,2,11,5.5
3,6,7,309,44.142857142857146
6,15,56,620,11.071428571428571
3,8,16,188,11.75
2,2,3,10,3.3333333333333335
2,5,20,83,4.15
6,11,37,283,7.648648648648648
5,7,14,161,11.5
1,1,2,14,7.0
4,6,15,272,18.133333333333333
4,8,25,227,9.08
2,2,6,10,1.6666666666666667
3,4,11,306,27.818181818181817
1,1,8,152,19.0
5,17,299,2355,7.8762541806020065
3,6,10,124,12.4
2,3,5,27,5.4
2,2,12,69,5.75
2,3,19,73,3.8421052631578947
1,1,1,1,1.0
3,5,28,132,4.714285714285714
3,4,11,189,17.181818181818183
3,4,18,162,9.0
3,7,18,212,11.777777777777779
2,2,11,84,7.636363636363637
2,2,45,369,8.2
4,6,8,116,14.5
5,11,79,1090,13.79746835443038
2,2,5,70,14.0
6,22,112,1457,13.008928571428571
1,1,1,5,5.0
2,2,9,73,8.11111111111111
3,4,6,13,2.1666666666666665
2,2,2,52,26.0
4,6,27,738,27.333333333333332
6,23,201,5671,28.213930348258707
2,3,5,22,4.4
2,2,2,12,6.0
4,6,15,1548,103.2
6,14,58,647,11.155172413793103
5,16,51,720,14.117647058823529
3,4,5,8,1.6
3,7,52,514,9.884615384615385
1,1,8,94,11.75
3,3,6,225,37.5
2,2,4,51,12.75
1,2,4,44,11.0
2,2,15,246,16.4
4,19,1277,56949,44.59592795614722
3,5,9,15,1.6666666666666667
3,4,12,56,4.666666666666667
4,6,21,974,46.38095238095238
6,21,164,1841,11.225609756097562
3,4,18,249,13.833333333333334
1,1,1,38,38.0
1,1,13,81,6.230769230769231
2,2,5,80,16.0
1,1,2,8,4.0
2,5,10,154,15.4
1,3,5,24,4.8
2,4,47,3252,69.19148936170212
6,18,142,8543,60.16197183098591
1,2,4,9,2.25
1,2,8,49,6.125
4,7,9,43,4.777777777777778
2,2,13,237,18.23076923076923
2,5,22,460,20.90909090909091
4,8,23,102,4.434782608695652
4,5,11,159,14.454545454545455
5,19,190,7649,40.257894736842104
1,2,14,436,31.142857142857142
4,6,31,382,12.32258064516129
5,13,664,17387,26.18524096385542
2,4,11,395,35.90909090909091
6,14,213,1902,8.929577464788732
1,2,10,75,7.5
4,8,106,1567,14.783018867924529
2,3,19,564,29.68421052631579
1,1,5,92,18.4
3,7,16,89,5.5625
3,3,5,25,5.0
5,11,18,632,35.111111111111114
6,8,21,347,16.523809523809526
1,1,1,12,12.0
2,3,10,182,18.2
1,1,1,11,11.0
3,4,10,208,20.8
2,3,6,74,12.333333333333334
2,2,9,96,10.666666666666666
2,6,22,267,12.136363636363637
4,6,8,196,24.5
5,10,46,523,11.369565217391305
2,4,9,71,7.888888888888889
1,1,2,4,2.0
3,5,15,117,7.8
2,3,11,41,3.727272727272727
1,2,4,6,1.5
2,4,10,33,3.3
2,2,3,67,22.333333333333332
1,1,2,4,2.0
2,3,15,62,4.133333333333334
2,4,41,271,6.609756097560975
2,2,17,387,22.764705882352942
5,6,126,1558,12.365079365079366
2,2,8,39,4.875
2,2,5,36,7.2
3,3,25,556,22.24
3,5,14,556,39.714285714285715
1,1,1,23,23.0
4,5,10,190,19.0
3,4,25,102,4.08
1,1,4,13,3.25
2,2,12,135,11.25
1,3,14,592,42.285714285714285
2,5,9,84,9.333333333333334
2,3,11,256,23.272727272727273
2,4,27,1592,58.96296296296296
3,6,13,312,24.0
1,2,5,84,16.8
2,3,9,27,3.0
3,4,10,902,90.2
2,3,20,346,17.3
2,3,15,715,47.666666666666664
6,21,171,2387,13.95906432748538
4,7,44,824,18.727272727272727
3,4,17,364,21.41176470588235
1,2,3,39,13.0
3,5,49,288,5.877551020408164
2,3,13,106,8.153846153846153
2,4,9,169,18.77777777777778
1,2,11,87,7.909090909090909
6,20,1784,19908,11.159192825112108
6,14,750,7069,9.425333333333333
4,7,14,406,29.0
3,7,31,308,9.935483870967742
