,id,lineage,similarity,hops,combination,inventor_sim
0,6226017,4136359,0.057604003697633736,1,3,0.3329266393133266
1,9940907,6226017,0.13514360785484314,2,21,0.788111676703345
2,7705842,6226017,0.1497403383255005,2,10,0.7375279095581531
3,9001133,7705842,0.2110498994588852,3,15,0.7894203474251646
4,9153179,7705842,0.3195275664329529,3,15,0.7851344048687935
5,8341391,7705842,0.18869607150554654,3,15,0.6632744598324174
6,10102823,7705842,0.2937573790550232,3,10,0.629674300443135
7,8111945,6226017,0.23515798151493075,2,15,0.7807451541029965
8,9478054,8111945,0.24243117868900302,3,15,0.7514435719047959
11,6959367,6226017,0.1917738914489746,2,3,0.3329266393133266
12,8239638,6959367,0.2515046000480652,3,6,0.4997169778668939
13,8131946,6959367,0.2524579763412476,3,3,0.3331354198328967
14,8364907,6959367,0.2632707953453064,3,3,0.3331354198328967
15,8892841,6959367,0.2817363440990448,3,6,0.4997169778668939
16,7836262,6959367,0.2704167068004608,3,3,0.3331354198328967
17,10224080,6959367,0.2260984480381012,3,1,0.0
18,9292425,6959367,0.13866779208183289,3,10,0.599621495529001
19,9354823,6959367,0.1950257122516632,3,6,0.4996877470969847
20,8549493,6226017,0.20276281237602234,2,3,0.3329266393133266
21,9384711,6226017,0.13679170608520508,2,6,0.7007488314741749
22,10204395,9384711,0.09585775434970856,3,10,0.6047969246942918
23,9832253,9384711,0.34845107793807983,3,78,0.859757534129079
24,7061499,6226017,0.21087318658828733,2,6,0.6499233303625241
25,6473091,6226017,0.20330825448036194,2,6,0.6136707649396035
26,7483042,6473091,0.19930332899093628,3,3,0.33320862647156274
27,7148900,6473091,0.1881023347377777,3,10,0.5468877935007315
28,6992664,6473091,0.4795587062835693,3,3,0.33320862647156274
29,7009622,6473091,0.2967101335525513,3,3,0.33320862647156274
30,7027066,6473091,0.493100106716156,3,3,0.33320862647156274
31,7088316,6473091,0.2805768549442291,3,15,0.7502203166292166
32,6950564,6473091,0.29416322708129883,3,6,0.6440946909131638
33,7705842,6473091,0.09643742442131042,3,10,0.7450429635400939
34,9177533,6226017,0.21424075961112976,2,28,0.8084210171729364
35,9230517,6226017,0.1960184872150421,2,21,0.788111676703345
36,10043489,6226017,0.15993887186050415,2,21,0.788111676703345
37,8842127,6226017,0.19047512114048004,2,3,0.3329266393133266
38,9824266,8842127,0.19782263040542605,3,6,0.4997257247447615
39,6958761,6226017,0.08545485138893127,2,15,0.7062952527325187
40,9715847,6958761,0.1258120834827423,3,45,0.6918291460368083
41,9824616,6958761,0.07543914020061493,3,45,0.6918291460368083
42,8049685,6958761,0.010365942493081093,3,15,0.7158377540389977
43,9235925,6226017,0.2030150592327118,2,21,0.788111676703345
44,9959668,6226017,0.1121574342250824,2,28,0.8084210171729364
45,7538778,6226017,0.23299723863601685,2,3,0.3329266393133266
46,9286122,6226017,0.17342321574687958,2,21,0.788111676703345
47,9832253,6226017,0.10829662531614304,2,78,0.8979531076023383
48,8717391,6226017,0.17124982178211212,2,6,0.6540238997787625
49,10262623,8717391,0.0932442471385002,3,3,0.3312315017477395
50,7576747,6226017,0.18772321939468384,2,3,0.3329266393133266
51,7286121,6226017,0.19547057151794436,2,15,0.6639969499555977
52,7961205,7286121,0.1341797262430191,3,15,0.7267060270535105
53,9307007,6226017,0.13453501462936399,2,78,0.8979531076023383
54,9979796,9307007,0.13744278252124786,3,91,0.7599973945355236
55,10204395,9307007,0.13164606690406802,3,91,0.7765410096950164
56,9961159,9307007,0.20155778527259827,3,78,0.8110548655138552
57,9723470,9307007,0.21034544706344604,3,105,0.7231718973843979
58,9665334,6226017,0.12919774651527405,2,3,0.3329266393133266
59,10469867,9665334,0.2288596034049988,3,1,0.0
60,10341678,9665334,0.23308253288269046,3,1,0.0
61,10313679,9665334,0.26438045501708984,3,1,0.0
62,10148978,9665334,0.25309452414512634,3,1,0.0
63,10271055,9665334,0.2132239043712616,3,1,0.0
64,9077925,6226017,0.1271720826625824,2,28,0.8111723404901401
65,9183609,6226017,0.14605651795864105,2,66,0.7881322228435285
66,10223822,9183609,0.23966906964778897,3,105,0.7003629760979352
67,10445852,9183609,0.188481479883194,3,105,0.7000383344465207
68,10324844,9183609,0.21615833044052124,3,105,0.7009178393114667
69,9361710,6226017,0.1901678442955017,2,3,0.3329266393133266
70,6973210,4136359,0.140781968832016,1,10,0.5970284331742889
71,9756318,6973210,0.16201089322566986,2,21,0.7828871046454277
72,8611661,6973210,0.2759219706058502,2,15,0.7722621392095274
73,9465774,8611661,0.3659035563468933,3,3,0.3330997490151452
74,9984287,8611661,0.25242918729782104,3,6,0.5090617827596479
75,9355601,6973210,0.24909453094005585,2,10,0.8586411813119781
76,10460653,9355601,0.15903376042842865,3,10,0.757704128568863
77,8421820,6973210,0.264287531375885,2,21,0.807089456264443
78,9337241,8421820,0.1836182028055191,3,15,0.6606351750069639
79,10170522,8421820,0.10933834314346312,3,6,0.49354204774674476
80,9792877,8421820,0.22270046174526212,3,28,0.7616962785845718
81,9842889,8421820,0.1904553771018982,3,6,0.49354204774674476
82,10109232,8421820,-0.01064874231815338,3,36,0.7481541539661967
83,7590306,6973210,0.3807690441608429,2,21,0.6538850092960428
84,9565338,7590306,0.15480783581733704,3,6,0.49885892251084485
85,7755625,7590306,0.16919130086898804,3,10,0.7116234803338861
86,8786873,7590306,0.15839017927646634,3,45,0.9983364472685968
87,8249357,7590306,0.21010161936283112,3,15,0.7293257736487414
88,8243882,7590306,0.11974797397851945,3,21,0.9979201540522803
89,7969456,6973210,0.3186914622783661,2,21,0.807089456264443
90,9691305,7969456,0.07028619945049286,3,78,0.817476129647242
91,8711067,7969456,0.19989588856697085,3,78,0.817476129647242
92,8781220,7969456,0.04263871163129807,3,10,0.720598839964419
93,8917276,7969456,0.2093245089054108,3,6,0.49354204774674476
94,8958636,7969456,0.18326961994171145,3,10,0.7135386944291336
95,8811730,7969456,0.042507089674472816,3,10,0.720598839964419
96,9087261,7969456,0.2418976277112961,3,15,0.7220893049245214
97,8760451,7969456,0.2738008797168732,3,6,0.49354204774674476
98,8172097,7969456,0.09835326671600343,3,55,0.7916645318577914
99,8712152,7969456,0.11048687994480133,3,36,0.7859197571576357
100,8509527,7969456,0.035460636019706726,3,10,0.720598839964419
101,8634673,7969456,0.289456307888031,3,15,0.7220893049245214
102,8269700,7969456,0.194509357213974,3,78,0.817476129647242
103,8417046,7969456,0.2474226653575897,3,15,0.7220893049245214
104,8350788,7969456,0.14886486530303955,3,36,0.7634750404528038
105,8130175,7969456,0.2511546015739441,3,78,0.817476129647242
106,8400453,7969456,0.2790483236312866,3,6,0.49354204774674476
107,9070316,7969456,0.23047980666160586,3,10,0.7367835179414339
108,8462274,7969456,0.1458754539489746,3,15,0.7028468702975399
109,8416244,7969456,0.2302989363670349,3,6,0.49354204774674476
110,7570403,6973210,0.22754329442977905,2,10,0.5970284331742889
111,8284467,7570403,0.3793775141239166,3,10,0.5990065553795698
112,8570600,7570403,0.2714690864086151,3,1,0.0
113,8049908,7570403,0.31844478845596313,3,1,0.0
114,7577299,6973210,0.13742241263389587,2,15,0.769177594081938
115,9013620,7577299,0.17717015743255615,3,3,0.3329155395902523
116,8774546,7577299,0.2635887861251831,3,15,0.6934600163447371
117,8055060,7577299,0.2359435558319092,3,3,0.3329155395902523
118,7605832,6973210,0.275610625743866,2,10,0.8159976473045821
119,7864202,6973210,0.28183919191360474,2,15,0.8087611840846031
120,9704929,7864202,0.2459313124418259,3,6,0.7354428182223195
121,9231033,7864202,0.15931211411952972,3,6,0.7354428182223195
122,8532170,7864202,0.1727186143398285,3,10,0.7287434882207338
123,6236390,4136359,0.15404008328914642,1,1,0.0
124,7646387,6236390,0.2871764004230499,2,3,0.6369975637868015
125,10347016,7646387,0.14284563064575195,3,3,0.3329650177758212
126,8830258,7646387,0.21429523825645447,3,6,0.679493720528904
127,7602390,6236390,0.3787067234516144,2,3,0.6363599047259759
128,7755648,6236390,0.2671051621437073,2,1,0.6849896552698026
129,8405692,6236390,0.17302650213241574,2,6,0.8438870509307962
130,10109232,8405692,0.10684393346309662,3,36,0.7485331257335104
131,8842127,6236390,0.2532612383365631,2,1,0.0
133,7064757,6236390,0.1346467137336731,2,3,0.6382567606335888
134,9317777,7064757,0.2532579302787781,3,10,0.6127522991750494
135,9569865,7064757,0.2553966045379639,3,10,0.6067865118697304
136,10275426,7064757,0.3030478358268738,3,10,0.5718718209945536
137,7469379,7064757,0.33393239974975586,3,6,0.569973143772646
138,9164968,7064757,0.245899498462677,3,3,0.6659640308925896
139,9275018,7064757,0.26094940304756165,3,10,0.6985443631733654
140,9619439,7064757,0.2329830080270767,3,6,0.6620515790854948
141,9626337,7064757,0.2589590847492218,3,15,0.657231458484242
142,9269332,7064757,0.2280826568603516,3,10,0.7284080075346945
143,9817615,7064757,0.1918988972902298,3,10,0.6245479027543246
144,8271470,7064757,0.3359190821647644,3,6,0.5743105011869022
145,9691169,7064757,0.2735918462276459,3,6,0.5562167110758393
146,9319444,7064757,0.10511400550603868,3,3,0.5849665526861957
147,8615709,7064757,0.2307445108890533,3,3,0.33305534857351377
148,9378190,7064757,0.2274098992347717,3,15,0.6456746596883672
149,8384917,7064757,0.3002849817276001,3,3,0.33305534857351377
150,10115215,7064757,0.16729159653186798,3,21,0.6967188373961266
151,10120842,7064757,0.2563377618789673,3,10,0.7284080075346945
152,10031713,7064757,0.2192695438861847,3,3,0.33305534857351377
153,9250095,7064757,0.2278006672859192,3,3,0.33305534857351377
154,8787660,7064757,0.2529991865158081,3,6,0.6946826803740236
155,7505040,7064757,0.35417526960372925,3,10,0.6727794799287012
156,9805288,7064757,0.1667010337114334,3,10,0.6127522991750494
157,8201088,7064757,0.35299915075302124,3,10,0.6282895096480032
158,7646430,6236390,0.24573573470115664,2,10,0.8695007232236222
159,9063870,7646430,0.21071814000606534,3,15,0.8256576636562394
160,7822799,7646430,0.3194333612918854,3,21,0.8107809809195481
161,7836117,7646430,0.3854232728481293,3,36,0.8175708579944833
162,8650236,7646430,0.2458837330341339,3,10,0.5933219863350206
163,8862650,7646430,0.23552653193473816,3,10,0.8674136030273502
164,7949699,7646430,0.325891375541687,3,15,0.6513260499566618
165,8266199,7646430,0.2757050395011902,3,36,0.8174848597578488
166,9348795,7646430,0.2117171287536621,3,10,0.8674136030273502
167,7814137,7646430,0.2994813919067383,3,10,0.8564452399267106
168,9600278,7646430,0.19106468558311465,3,10,0.8674136030273502
169,8266198,7646430,0.3003339171409607,3,28,0.8113932210693979
170,8396914,7646430,0.10517901182174684,3,10,0.8674136030273502
171,9395953,7646430,0.18020513653755188,3,15,0.8256576636562394
172,8704847,7646430,0.3606686294078827,3,21,0.9927617979391802
173,9098332,7646430,0.1713554859161377,3,10,0.8674136030273502
174,7865541,7646430,0.2324515581130981,3,10,0.8674136030273502
175,8386553,7646430,0.19811393320560453,3,15,0.8256576636562394
176,9207909,7646430,0.14003673195838928,3,10,0.8674136030273502
177,8589463,7646430,0.24898524582386014,3,10,0.8674136030273502
178,8484265,7646430,0.1108672022819519,3,10,0.8674136030273502
179,8645449,7646430,0.20612207055091855,3,10,0.8674136030273502
180,8577951,7646430,0.16872161626815796,3,10,0.8674136030273502
181,8601044,7646430,0.2145247757434845,3,10,0.8674136030273502
182,9684488,7646430,0.13389569520950315,3,10,0.8674136030273502
183,8645451,7646430,0.20691341161727905,3,10,0.8674136030273502
184,8543634,7646430,0.2924800515174866,3,21,0.7936178425241445
185,8041759,7646430,0.3559170961380005,3,36,0.8184415081181005
186,8468192,7646430,0.2283969670534134,3,10,0.8674136030273502
187,8539016,7646430,0.1496361792087555,3,10,0.8674136030273502
188,8650231,7646430,0.2214159369468689,3,10,0.8674136030273502
189,8510354,7646430,0.15977507829666138,3,10,0.8674136030273502
190,9189200,7646430,0.1486668586730957,3,10,0.8674136030273502
191,8706790,7646430,0.21531957387924194,3,10,0.8674136030273502
192,8812573,7646430,0.2491254210472107,3,10,0.8674136030273502
193,8307023,7646430,0.2228461056947708,3,15,0.7255692282760331
194,8620980,7646430,0.2537521421909332,3,15,0.8190288645089246
195,7948267,7646430,0.2974132001399994,3,15,0.8190288645089246
196,8788562,7646430,0.22323516011238095,3,15,0.8256576636562394
197,8645450,7646430,0.21349306404590607,3,21,0.7094988519564785
198,8812576,7646430,0.2346344590187073,3,10,0.8564452399267106
199,7930336,7646430,0.22300300002098086,3,15,0.8256576636562394
200,9053045,7646430,0.17002058029174805,3,15,0.8201176986421964
201,7948507,7646430,0.1515965461730957,3,28,0.792613287809546
202,8762443,7646430,0.1659015715122223,3,10,0.5933219863350206
203,8301681,7646430,0.28804227709770197,3,28,0.8113932210693979
204,8959137,7646430,0.16187351942062378,3,10,0.8674136030273502
205,8354789,7646430,0.2292819172143936,3,21,0.6114473270761028
206,8539014,7646430,0.11725059896707535,3,15,0.8201435033646435
207,8072544,7646430,0.18770676851272586,3,28,0.6849889066824252
208,8949298,7646430,0.1980649530887604,3,10,0.8674136030273502
209,8412756,7646430,0.17219138145446775,3,10,0.8674136030273502
210,8996600,7646430,0.2377709746360779,3,10,0.8674136030273502
211,7109996,6236390,0.29940760135650635,2,1,0.0
212,8203569,7109996,0.18929654359817505,3,1,0.0
213,7248268,6236390,0.26002082228660583,2,3,0.7842688523282412
214,9355601,7248268,0.4369372129440308,3,3,0.998830521193824
215,7782346,7248268,0.2622880935668945,3,3,0.3327485939302453
216,8633952,7248268,0.3910581469535828,3,10,0.9965272198598022
217,8933976,7248268,0.1318550556898117,3,3,0.3327485939302453
218,9418586,7248268,0.16357028484344482,3,3,0.6795849257323168
219,8223180,7248268,0.3124765157699585,3,6,0.9923796981946355
220,7889215,7248268,0.4966206252574921,3,6,0.998830521193824
221,7965305,7248268,0.3106634020805359,3,6,0.7129992711200934
222,8421820,7248268,0.3879556059837341,3,10,0.9908643178198895
223,8223168,7248268,0.4383614659309387,3,6,0.998830521193824
224,9449543,7248268,0.09069178253412248,3,10,0.669712294491662
225,7916156,7248268,0.4625806212425232,3,6,0.9981808544930036
226,8797344,7248268,0.2965998649597168,3,6,0.9890885313481798
227,9734745,7248268,0.2112874686717987,3,3,0.6795849257323168
228,7505053,7248268,0.5406244397163391,3,6,0.9888763347178934
229,7701533,7248268,0.13776665925979614,3,28,0.8494629626084816
230,7893944,7248268,0.4264213740825653,3,10,0.9965272198598022
231,7688335,7248268,0.4990026950836182,3,6,0.998830521193824
232,8264497,7248268,0.4178206026554108,3,10,0.9947295714118916
233,7583279,7248268,0.5367473363876343,3,6,0.9888763347178934
234,8159498,7248268,0.4031545519828797,3,10,0.9947295714118916
235,9542896,7248268,0.20795468986034396,3,10,0.7704415433515293
236,9558691,7248268,0.1867172718048096,3,15,0.7943003902907838
237,10204573,7248268,0.16255152225494385,3,6,0.5830055422733338
238,8405672,7248268,0.3306524753570557,3,10,0.9964592390660364
239,8203582,7248268,0.3908712565898895,3,6,0.9923796981946355
240,7969456,7248268,0.5041930675506592,3,10,0.9908643178198895
241,8587621,6236390,0.1883157193660736,2,3,0.7203652257676117
242,8134583,6236390,0.187439888715744,2,1,0.719048641298986
243,10026349,8134583,0.2377072274684906,3,3,0.5894582061524386
244,9613557,8134583,0.2626660466194153,3,3,0.5894582061524386
245,9886884,8134583,0.22257910668849945,3,15,0.8963151148184814
246,10140907,8134583,0.12133727222681046,3,1,0.0
247,8456496,8134583,0.7968875169754028,3,1,1.0
248,7230584,6236390,0.12711122632026672,2,1,0.7097029471705101
249,7417601,7230584,0.8256396055221558,3,1,0.9896585975272639
250,8416262,7230584,0.08488009870052338,3,1,0.0
251,9076253,7230584,0.12952743470668793,3,1,0.0
252,7620243,7230584,0.2466559261083603,3,1,0.4875755753507106
253,10043433,7230584,0.1991053819656372,3,1,0.0
254,7274383,6236390,0.2174798995256424,2,1,0.0
255,9431469,7274383,0.20867010951042173,3,3,0.33307422560891803
256,9837476,7274383,0.2319493740797043,3,3,0.33307422560891803
257,9721344,7274383,0.1854304075241089,3,1,0.0
258,7872681,7274383,0.28368598222732544,3,1,0.0
259,8711066,7274383,0.23201441764831546,3,1,0.0
260,9685490,7274383,0.2688833475112915,3,3,0.33307422560891803
261,9030503,7274383,0.34608957171440125,3,1,0.0
262,10347693,7274383,0.25292113423347473,3,1,0.0
263,9721357,7274383,0.18931788206100464,3,1,0.0
264,9936192,7274383,0.2113090455532074,3,6,0.49971363966530585
265,8502758,7274383,0.3403380811214447,3,10,0.5994741707038223
266,9599323,7274383,0.22737917304039,3,1,0.0
267,9818803,7274383,0.2875714898109436,3,1,0.0
268,9305986,7274383,0.2309809029102325,3,3,0.33307422560891803
269,10347703,7274383,0.18783947825431824,3,3,0.33307422560891803
270,7728802,7274383,0.6059084534645081,3,1,0.0
271,7737993,6236390,0.2842352092266083,2,6,0.7000729496942881
272,9160783,7737993,0.038965292274951935,3,6,0.6914815914645599
273,9128592,7737993,0.11392159014940262,3,28,0.6733425329719919
274,9715337,7737993,-0.040633652359247215,3,21,0.6519082908746159
275,10241507,7737993,0.017999080941081047,3,36,0.691845221926371
276,10315312,7737993,0.0060475096106529245,3,21,0.6483286925458984
277,10328576,7737993,0.08995993435382843,3,66,0.7498675199690602
278,9089972,7737993,0.06990758329629898,3,78,0.763945767521077
279,8384739,7737993,0.13104605674743652,3,6,0.4993792871243133
280,9251313,7737993,0.13390500843524933,3,55,0.7336114112436559
281,10493631,7737993,0.0709628313779831,3,36,0.6937024662656384
282,9020299,7737993,0.2280240952968597,3,6,0.4993792871243133
283,9198728,7737993,0.05812323838472366,3,36,0.6912543970580743
284,9323250,7737993,0.026952922344207764,3,171,0.826906918096763
285,8499236,7737993,0.27842414379119873,3,6,0.4993792871243133
286,9208133,7737993,0.2409694194793701,3,10,0.5499425229075369
287,9616576,7737993,0.0032452978193759923,3,28,0.670790914702492
288,10259119,7737993,-0.005892319604754448,3,36,0.6912543970580743
289,9785149,7737993,0.09878109395503998,3,171,0.826906918096763
290,10218748,7737993,0.08163690567016603,3,10,0.6157692099269655
291,9654726,7737993,0.10817323625087738,3,6,0.4993792871243133
292,9193065,7737993,0.01971280574798584,3,36,0.6937024662656384
293,9519729,7737993,0.1578660011291504,3,10,0.7845570805589996
294,7882430,7737993,0.23291586339473724,3,6,0.4993792871243133
295,9381654,7737993,0.02422647178173065,3,28,0.6720147243489645
296,10073950,7737993,0.06324456632137299,3,28,0.673254641600583
297,9361021,7737993,0.14890329539775848,3,153,0.8189507104529502
298,10331323,7737993,-0.0057485196739435205,3,21,0.6519082908746159
299,9602765,7737993,-0.03970862179994583,3,28,0.673254641600583
300,10042831,7737993,0.22473858296871185,3,6,0.7196104681273257
301,9264664,7737993,0.024511588737368584,3,10,0.6157692099269655
302,9469030,7737993,0.07535836845636368,3,171,0.8269069180967629
303,8736635,7737993,0.19608603417873385,3,6,0.4993792871243133
304,8386959,7737993,0.23793670535087585,3,10,0.7845570805589996
305,9776327,7737993,0.0594431459903717,3,66,0.7498675199690602
306,10059000,7737993,0.12422183156013487,3,28,0.6720147243489645
307,8566707,7737993,0.25742459297180176,3,21,0.5718185150948742
308,9842192,7737993,-0.01226658932864666,3,15,0.6342973907559956
309,10471588,7737993,-0.014908798038959503,3,21,0.6501842878880866
310,9098611,7737993,0.21793153882026672,3,36,0.6918632850222113
311,10343283,7737993,0.002531129866838455,3,15,0.626415695604391
312,9956690,7737993,0.056158415973186486,3,21,0.6510014045739163
313,10334205,7737993,0.14913997054100034,3,36,0.6932446203211569
