,id,lineage,similarity,hops,intra_sim
2460,7427994,6393145,0.3908498287200928,2.0,0.9972996091347307
2461,7430648,6826778,0.1644931137561798,3.0,0.9988110074507794
2462,7432920,4660074,0.20448094606399536,3.0,0.9987084071997585
2463,7433100,5155588,0.1207086741924286,3.0,1.0
2464,7433100,6829061,0.2556796669960022,3.0,1.0
2465,7433973,7180511,0.12567231059074402,3.0,0.9989327762519875
2466,7436346,5675390,0.24437615275383,3.0,0.9991248435949143
2467,7436403,6888552,0.13894708454608914,3.0,1.0
2468,7436403,6396505,0.15461929142475128,2.0,1.0
2469,7436458,5675390,0.14605119824409485,3.0,0.9989073995533284
2470,7440037,7002597,0.3250398635864258,3.0,0.9993663171386169
2471,7440037,6188385,0.2699497938156128,2.0,0.9993663171386169
2472,7440138,6829061,0.3111336529254913,3.0,1.0
2473,7441095,6826778,0.10659268498420717,3.0,0.9994567669095032
2474,7443364,6239783,0.10560190677642822,2.0,0.9571394576681035
2475,7443364,6963319,0.2692822217941284,3.0,0.9571394576681035
2476,7443364,6393145,0.1560118943452835,2.0,0.9571394576681035
2477,7443399,6282327,0.08705499768257141,2.0,1.0
2478,7443544,5502458,0.25006771087646484,3.0,1.0
2479,7444065,5675390,0.18670932948589325,3.0,0.9990268436091206
2480,7445551,5300944,0.10603445768356323,3.0,0.9929766436126899
2481,7447241,7375761,0.3946862816810608,3.0,0.9994199842301709
2482,7447378,7184066,0.1684986650943756,3.0,0.9991562091671605
2483,7450268,7012619,0.14392276108264926,3.0,0.9992776085876809
2484,7450269,5155588,0.1996789872646332,3.0,0.999286772711253
2485,7453429,6801220,0.32773762941360474,3.0,0.9993239118796059
2486,7453449,6239783,0.1273520141839981,2.0,0.9773011758103847
2487,7453449,6393145,0.1295083612203598,2.0,0.9773011758103847
2488,7453454,6243070,0.13514339923858645,2.0,0.9929300551931723
2489,7453478,6239783,0.11120697855949402,2.0,0.9989850997668193
2490,7453478,6393145,0.0996108204126358,2.0,0.9989850997668193
2491,7456807,7362338,0.043928824365139015,3.0,0.999194245521919
2492,7456844,6674436,0.12503843009471893,2.0,1.0
2493,7456851,7102650,0.2266086786985397,3.0,1.0
2494,7456851,7148901,0.36560022830963135,3.0,1.0
2495,7457205,5675390,0.023359548300504684,3.0,1.0
2496,7457414,6519772,0.08114010840654373,3.0,0.9970282931464585
2497,7457414,5675390,0.18210469186306,3.0,0.9970282931464585
2498,7457672,5724101,0.3048287034034729,3.0,0.9992366956098291
2499,7457899,6826778,0.14996939897537231,3.0,0.9989189666132691
2500,7457937,7158148,0.17394879460334778,3.0,0.9881323063044044
2501,7457981,6404975,0.15424653887748718,3.0,1.0
2502,7460097,6333730,0.1179615706205368,3.0,0.999281615010838
2503,7460133,7034811,0.19900774955749512,3.0,0.9762913501992015
2504,7460133,7030894,0.13651633262634275,3.0,0.9762913501992015
2505,7460133,6681053,0.30324003100395197,2.0,0.9762913501992015
2506,7460179,6674436,0.2444622218608856,2.0,0.9700735630301652
2507,7460179,7019736,0.5263988971710205,3.0,0.9700735630301652
2508,7460180,7084923,0.25093990564346313,3.0,1.0
2509,7461353,7219309,0.2311379164457321,3.0,0.9992145635349365
2510,7463178,6618547,0.0945679172873497,3.0,1.0
2511,7463272,6239783,0.17544081807136536,2.0,1.0
2512,7463272,6393145,0.2981303930282593,2.0,1.0
2513,7463296,6807319,0.19179370999336245,3.0,0.9982249116771635
2514,7464198,4849875,0.08576437830924988,3.0,0.9988774900543398
2515,7466291,6239783,0.09766405075788498,2.0,0.9975556628994015
2516,7466291,6393145,0.18068549036979675,2.0,0.9975556628994015
2517,7466298,7268757,0.17126338183879852,3.0,1.0
2518,7466298,6801220,0.17926040291786194,3.0,1.0
2519,7467178,4481576,0.10723696649074554,3.0,1.0
2520,7467239,4849875,0.11934836208820344,3.0,0.9987612998192458
2521,7467254,5101339,0.1705285608768463,3.0,1.0
2522,7468725,6917369,0.08780140429735184,3.0,1.0
2523,7468732,7006096,0.531003475189209,3.0,1.0
2524,7468732,6278434,0.16546210646629333,2.0,1.0
2525,7468732,6278434,0.16546210646629333,3.0,1.0
2526,7468732,6188385,0.14529021084308624,2.0,1.0
2527,7468732,6542161,0.517680823802948,3.0,1.0
2528,7468732,6243070,0.1346108764410019,2.0,1.0
2529,7468732,6307566,0.20680031180381772,2.0,1.0
2530,7468754,6166772,0.2363056093454361,3.0,0.9995084053208743
2531,7469071,6243070,0.2488396316766739,2.0,0.9958213535846845
2532,7469379,7064757,0.33393239974975586,3.0,0.9989399496016176
2533,7470032,7407295,0.6186075210571289,3.0,0.9913971890735255
2534,7470032,6239783,0.1841662675142288,2.0,0.9913971890735255
2535,7470032,6393145,0.2229718416929245,2.0,0.9913971890735255
2536,7471300,7154508,0.3714898228645325,3.0,1.0
2537,7471822,6236390,0.20073530077934265,2.0,0.9983557604362496
2538,7471822,6239783,0.2758595943450928,2.0,0.9983557604362496
2539,7471822,5614925,0.14997944235801694,3.0,0.9983557604362496
2540,7471829,6384839,0.26109713315963745,3.0,0.9992959300047018
2541,7471843,6807319,0.4780922532081604,3.0,0.9762913501992015
2542,7471843,6597360,0.21857738494873047,2.0,0.9762913501992015
2543,7471843,6775420,0.33273786306381226,3.0,0.9762913501992015
2544,7471843,6393145,0.3005145192146301,2.0,0.9762913501992015
2545,7474319,6239783,0.17777669429779053,2.0,0.9964758662841134
2546,7474319,7307646,0.25552088022232056,3.0,0.9964758662841134
2547,7474319,6393145,0.17869833111763,2.0,0.9964758662841134
2548,7474359,5675390,0.2559609115123749,3.0,0.9970123898378267
2549,7475283,6404975,0.1352555751800537,3.0,1.0
2550,7477205,6882346,0.3248271942138672,3.0,0.9172053924032758
2551,7477256,6882346,0.3306775391101837,3.0,1.0
2552,7477264,6680739,0.20239104330539706,3.0,0.9990860791913605
2553,7478136,4136359,0.06801801919937134,1.0,0.9994183870789556
2554,7478340,6624828,0.15999214351177216,2.0,0.9991915614107898
2555,7479967,7079151,0.16687583923339844,3.0,0.9994475782165885
2556,7480164,5313583,0.18570761382579806,3.0,0.9990893069194294
2557,7480381,6519772,0.14638155698776245,3.0,0.9970282931464585
2558,7480381,5675390,0.15127167105674744,3.0,0.9970282931464585
2559,7480405,6243070,0.17776669561862946,2.0,1.0
2560,7480405,7054483,0.7441121339797974,3.0,1.0
