root,combination,inventor,assignee,location
4970202,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4632283,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4632283,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4632283,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4255452,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4255452,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4255452,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5719772,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5719772,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5719772,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4566750,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4566750,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4566750,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4525786,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4525786,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4525786,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5404388,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5404388,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5404388,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5615333,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5615333,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5615333,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4959975,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4959975,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4959975,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5478120,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5478120,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5478120,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4198128,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4198128,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4198128,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4390641,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4390641,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4390641,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4577010,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4577010,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4577010,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6256372,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6256372,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6256372,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4490998,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4490998,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4490998,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5744376,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5744376,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5744376,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5588730,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5588730,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5588730,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5633787,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5633787,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5633787,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6094596,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6094596,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6094596,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6235910,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6235910,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6235910,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6299401,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6299401,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6299401,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5420810,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5420810,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5420810,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4529929,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4529929,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4529929,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4632332,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4632332,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4632332,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6094608,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6094608,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6094608,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5703441,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5703441,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5703441,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5775121,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5775121,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5775121,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4867859,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4867859,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4867859,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4747027,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4747027,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4747027,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4501273,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4501273,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4501273,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5779229,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5779229,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5779229,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5900062,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5900062,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5900062,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4398879,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4398879,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4398879,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4425504,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4425504,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4425504,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6070049,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6070049,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6070049,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5291810,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5291810,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5291810,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5152546,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5152546,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5152546,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5719844,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5719844,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5719844,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5312293,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5312293,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5312293,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5820198,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5820198,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5820198,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4153126,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4153126,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4153126,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6321959,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6321959,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6321959,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5398313,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5398313,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5398313,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4552485,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4552485,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4552485,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5230387,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5230387,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5230387,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4994868,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4994868,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4994868,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6059828,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
