root,combination,inventor,assignee,location
4421525,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4421525,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4421525,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6178711,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6178711,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6178711,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6016920,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6016920,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6016920,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5644185,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5644185,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5644185,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5773207,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5773207,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5773207,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4925339,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4925339,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4925339,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4714397,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4714397,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4714397,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5607327,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5607327,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5607327,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4939682,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4939682,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4939682,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4183971,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4183971,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4183971,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5234596,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5234596,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5234596,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4695975,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4695975,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4695975,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4523944,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4523944,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4523944,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5613483,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5613483,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5613483,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5025712,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5025712,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5025712,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5554097,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5554097,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5554097,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5728178,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5728178,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5728178,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
