,inventor,related,hops,sim
73,fl:m_ln:overton-1,fl:s_ln:howells-1,3,0.43437382747665165
145,fl:m_ln:overton-1,fl:l_ln:stanger-1,3,0.5456883377030562
149,fl:m_ln:overton-1,fl:m_ln:wang-307,3,0.3922058312642699
172,fl:m_ln:overton-1,fl:p_ln:o'connor-13,3,0.49345595415422605
173,fl:m_ln:overton-1,fl:e_ln:peters-21,3,0.492471208190672
174,fl:m_ln:overton-1,fl:m_ln:phillips-51,3,0.4934151468125295
207,fl:m_ln:overton-1,fl:j_ln:sproul-3,3,0.5934072401016718
0,fl:r_ln:ghanbari-1,fl:m_ln:yturralde-2,1,0.9993862642331208
2,fl:r_ln:ghanbari-1,fl:r_ln:ghanbari-1,0,1.0
104,fl:r_ln:ghanbari-1,fl:h_ln:chiba-30,3,0.32854835022455664
105,fl:r_ln:ghanbari-1,fl:n_ln:yamaguchi-57,3,0.33097566491231944
106,fl:r_ln:ghanbari-1,fl:t_ln:noda-75,3,0.32695783048431837
0,fl:x_ln:tu-6,fl:r_ln:townsend-5,1,0.9987534803559643
3,fl:x_ln:tu-6,fl:a_ln:zotov-3,2,0.49933683881337676
7,fl:x_ln:tu-6,fl:l_ln:keely-4,2,0.8495314494926919
8,fl:x_ln:tu-6,fl:x_ln:tu-6,0,1.0
10,fl:x_ln:tu-6,fl:t_ln:torset-1,1,0.9928173712718047
13,fl:x_ln:tu-6,fl:j_ln:markiewicz-1,2,0.43059723696948005
19,fl:x_ln:tu-6,fl:b_ln:scott-32,1,0.9989898773824678
29,fl:x_ln:tu-6,fl:m_ln:agrawal-16,2,0.5449572918506451
32,fl:x_ln:tu-6,fl:s_ln:pradhan-3,1,0.9978161833040192
33,fl:x_ln:tu-6,fl:j_ln:teed-2,1,0.9991640799189816
34,fl:x_ln:tu-6,fl:e_ln:geidl-1,1,0.9989045115889478
41,fl:x_ln:tu-6,fl:k_ln:feldman-12,2,0.9939828975281273
42,fl:x_ln:tu-6,fl:b_ln:krantz-1,1,0.9907288197873914
54,fl:x_ln:tu-6,fl:s_ln:dodge-7,1,0.9915291246304853
74,fl:x_ln:tu-6,fl:m_ln:kumar-85,3,0.5406779264983679
75,fl:x_ln:tu-6,fl:s_ln:madhvanath-1,3,0.545626740809625
81,fl:x_ln:tu-6,fl:m_ln:biswas-2,1,0.9914758171840118
