from,to
3094,2182
5115,3094
3094,978
5115,2182
2182,978
5115,978
1562,878
471,358
870,849
4822,870
4822,849
3793,1451
4149,3793
3878,3793
4561,3793
3878,1451
4149,1451
4561,1451
4561,4149
4149,3878
5200,4170
4713,3276
5278,4713
5278,3276
2969,36
2969,1401
5475,2969
1401,36
5475,36
695,641
3461,695
3607,2432
3607,2527
2527,2432
4945,2828
4014,1888
4333,4014
4014,2730
4014,3203
4014,2188
4014,1730
4014,358
4170,4014
4170,358
2188,358
1888,358
4333,358
2730,358
1730,358
3203,358
3203,1888
4170,3203
3203,2188
3203,2730
4333,3203
3203,1730
2188,1730
2730,2188
4333,2188
2188,1888
4170,2188
2730,1888
4170,2730
4333,2730
2730,1730
4333,4170
4333,1730
4333,1888
4170,1730
1888,1730
4170,1888
4881,1833
3823,2785
5356,3823
5356,2785
5243,2994
3823,3590
3590,2785
3562,1379
728,716
828,728
5131,728
728,147
2225,728
3369,728
5131,147
5131,3369
5131,828
5131,2225
5131,716
2225,147
3369,147
828,147
716,147
828,716
3369,716
2225,716
2225,828
3369,828
3369,2225
4340,2285
1381,835
1566,1381
5354,1381
1566,835
5354,1566
1834,1817
1834,583
4736,1834
1834,230
1817,583
1817,230
4736,1817
4736,230
583,230
4736,583
5291,1603
1863,1010
4541,1863
2310,1863
4541,2310
4541,1010
2310,1010
5421,3372
5421,3216
3749,730
5368,3749
5368,730
1282,197
637,197
197,164
5438,164
5438,637
5063,637
5063,164
637,164
1282,164
986,164
1282,637
986,637
3694,3274
3274,1983
2739,818
2485,818
820,818
818,301
2739,2485
2485,301
2485,820
2739,820
2739,301
820,301
3707,820
3707,818
3707,2739
3707,2485
4949,3527
4949,2739
4949,2485
3527,2485
4302,2157
3424,2157
2769,2157
3424,2769
4302,2769
4302,3424
5627,5575
5627,1993
5627,2876
5575,2876
2876,1993
5575,1993
3546,2587
3493,1062
3493,1619
1619,1062
3962,3286
3962,312
3962,3372
4725,3216
4725,2736
3216,2736
5154,931
5154,228
931,228
5576,4014
4608,2139
3884,3152
5142,1357
2552,1071
2552,923
2552,722
923,722
5102,867
5102,239
5102,4944
5102,3485
3485,239
3485,867
4944,3485
867,239
4944,239
4944,867
4572,4055
4426,4055
4055,2329
4572,4426
4572,2329
4426,2329
669,223
4281,3264
3584,3264
2832,2774
2832,755
2774,755
3107,1200
2853,2042
3446,2853
2853,755
2853,1089
2853,1079
2853,2044
1089,1079
3446,1079
1079,755
2042,1079
2044,1079
1089,755
3446,755
2042,755
2044,755
2044,2042
2044,1089
3446,2044
3446,2042
2042,1089
3446,1089
2774,2042
5366,2943
5366,2389
5486,5366
5366,409
5486,2943
2943,2389
2943,409
2389,409
5486,409
5486,2389
2615,2386
2615,141
2386,141
3222,2951
3020,76
1437,893
3907,102
5347,646
4699,1897
1897,80
4699,80
4631,432
1716,432
5256,432
4631,1716
5256,1716
5256,4631
3421,698
3421,2852
3421,1633
2852,1633
1633,698
2852,698
5627,5465
5575,5465
3482,3258
3592,3258
3592,3482
3241,165
1664,165
3594,1886
4887,3594
3594,430
3594,1948
4887,1886
4887,1948
4887,430
1948,430
1948,1886
1886,430
3384,253
4117,3656
4117,713
4910,4117
4910,3656
4910,713
3656,713
4518,1772
4518,2477
4518,2204
2204,1772
2477,1772
2477,2204
3355,1460
4209,1618
5358,2177
2691,2177
5358,2691
4830,3418
4898,4032
4032,1739
4032,2668
4032,2303
2668,1739
2668,2303
4898,2668
4898,1739
2303,1739
4898,2303
3827,2798
3282,2986
4284,845
845,70
4284,70
4445,2970
2970,503
4445,503
3922,1310
5610,1282
1842,1282
5610,1842
4709,3064
3646,3064
4841,3064
4841,3646
4709,3646
4841,4709
5486,3021
3021,409
4841,3021
3021,2943
4841,2943
4841,409
5486,4841
4590,4113
4217,1697
2985,1697
4217,2985
4301,1537
4301,1450
5486,2007
5486,3238
5486,1966
5486,2090
3238,409
3238,2090
4841,3238
3238,2007
3238,1966
4841,2090
2090,1966
2090,2007
2090,409
4841,1966
4841,2007
1966,409
2007,1966
2007,409
5321,3028
5434,4301
5434,1450
3512,2965
2965,1537
4561,2965
3926,2965
3878,2965
2239,1289
2756,2239
2756,1289
5166,1965
5166,310
5537,3937
3937,280
3937,3
3937,2061
2061,3
2061,280
5537,2061
5537,3
280,3
5537,280
2291,98
2569,2291
4989,2291
4989,2569
4989,98
2569,98
3549,789
2777,789
3549,2777
5306,1225
1570,66
5559,467
4717,467
5559,4717
5030,2438
1844,1027
4977,1844
1844,136
1027,136
4977,1027
4977,136
4395,1157
2180,1157
4395,2180
5295,1381
5295,2791
5295,4516
5295,1099
5389,5295
5295,3498
5295,3500
3498,1381
4516,3498
3498,1099
5389,3498
3500,3498
4859,3498
3498,2791
3498,12
3500,12
4516,12
5389,12
1099,12
2791,12
1381,12
5389,3500
5389,1381
5389,4516
5389,1099
5389,4859
5389,2791
4859,1099
4859,4516
4859,1381
4859,2791
4859,3500
4516,1099
4516,1381
4516,2791
4516,3500
2791,1381
2791,1099
3500,2791
1381,1099
3500,1381
3500,1099
3688,2183
3786,1693
4292,1693
1726,1693
4292,3786
3786,1726
4292,1726
3929,3411
3411,1700
5507,3411
3929,1700
5507,1700
5507,3929
523,336
3000,109
3951,2488
2488,41
3951,41
5480,709
5315,1625
1625,1127
5315,1127
3631,2870
812,512
3507,512
3507,812
5382,1956
5313,2097
714,26
921,26
4899,26
3251,26
5172,26
2097,26
5172,714
5172,2097
5172,3251
5172,921
5172,4899
4899,714
921,714
2097,714
3251,714
3251,921
4899,921
2097,921
3251,2097
4899,2097
4899,3251
4952,3414
4952,3251
4952,4806
4806,3251
3414,3251
4806,3414
5487,4521
3929,2028
2898,2669
2898,85
2898,2645
2669,2645
2669,85
2645,85
5567,5037
5264,533
1030,533
1634,533
5264,1634
5264,1030
1634,1030
5393,4774
4774,656
5393,656
3852,3084
3084,303
3852,303
4106,714
5267,2028
2544,731
4767,731
4634,731
4634,2544
4767,2544
4767,4634
4106,3251
4952,4106
4952,3328
4106,3328
3328,714
4952,714
3261,2562
5212,3261
3261,802
3261,772
3660,3261
2562,802
5212,802
802,772
3660,772
3660,2562
5212,3660
5212,2562
5212,772
2562,772
3334,53
2685,53
4855,53
4855,3334
4855,2685
3334,2685
1999,385
740,385
2242,385
1999,740
2242,740
2242,1999
3105,1877
4308,1588
4308,2825
2825,1588
4232,3479
4232,1464
3479,1464
2795,2394
5532,4098
5532,575
5532,4177
5532,2500
5532,2849
5532,2054
5532,787
2500,575
2849,575
2054,575
787,575
4098,575
4177,575
2054,787
2500,787
4098,787
2849,787
4177,787
4177,4098
4177,2500
4177,2054
4177,2849
2849,2500
4098,2500
2500,2054
2849,2054
4098,2054
4098,2849
4138,1446
1446,108
4138,108
1314,1246
3791,1246
3791,1314
3704,2901
5048,415
5048,2226
2226,415
2562,1651
3660,1651
1651,772
2711,452
2711,63
452,63
2711,579
579,63
2665,2140
1651,802
2112,1651
2112,802
5006,2112
5212,2112
5006,802
3605,1133
5114,1133
5114,3605
4602,2890
2890,990
2890,2673
2890,118
2673,990
990,118
4602,990
4602,118
2673,118
4602,2673
4914,2504
2504,1165
4914,1165
3157,2711
3157,452
1904,452
2508,1904
2508,452
2711,1494
1494,452
3752,2336
3752,3193
3752,2031
2336,2031
3193,2031
3193,2336
3605,946
5114,946
1374,946
3605,1374
5114,1374
3292,2407
2407,1997
3920,2407
3531,2407
3583,2407
3583,1997
3583,3531
3920,3583
3583,3292
3920,3531
3920,1997
3920,3292
3292,1997
3531,1997
3531,3292
5019,4761
4579,4412
5099,4494
4662,4304
5301,1549
4701,1549
5301,4701
3836,1653
5153,4657
5153,3606
4657,3606
3038,1702
3025,1053
4537,3025
3025,1439
4537,1439
1439,1053
4537,1053
2952,1187
4707,2809
3624,1295
2875,213
3463,2875
3463,213
3012,2711
1884,727
3511,792
3511,279
3511,1654
792,279
1654,279
1654,792
4838,3247
3247,425
4838,425
2711,1550
3012,1550
3557,2982
4147,3557
3557,170
3557,3091
4147,170
3091,170
2982,170
4147,3091
4147,2982
3091,2982
3431,2586
3431,2104
3431,3180
3180,2586
3180,2104
2586,2104
609,332
3180,355
2586,355
3431,355
1156,946
1133,946
3605,1156
1374,1156
5114,1156
1156,1133
1374,1133
2843,1076
1076,19
2843,19
4994,3301
3890,2422
3890,3279
3279,2422
4069,2625
5278,67
3276,67
4498,4104
5376,190
2807,1804
4024,1804
3291,1804
3291,2807
4024,2807
4024,3291
4697,3677
4804,4697
4804,3677
2629,2626
2629,155
2626,155
987,505
5376,3738
3667,2257
2257,1161
3667,1161
4769,3876
4769,3899
4769,4382
4382,3876
4382,3899
3899,3876
4410,3598
1180,44
3934,44
3934,1180
5293,2118
2118,1122
3696,1789
3696,501
3696,2451
3696,365
3696,2744
2744,1789
2744,501
2744,365
2744,2451
1789,501
1789,365
2451,1789
501,365
2451,365
2451,501
5293,1122
1632,195
969,195
1632,969
3165,1845
1845,1484
3165,1484
4628,3132
5419,4628
4628,1994
4628,84
3132,1994
5419,3132
3132,84
5419,1994
5419,84
1994,84
5349,2518
2518,1728
3149,2518
5349,1728
5349,3149
3149,1728
2118,252
1761,1084
2537,1084
2537,1761
3157,1761
3214,1761
3882,1761
4528,1761
4528,3157
3214,3157
3882,3157
4528,3214
3882,3214
4528,3882
3365,3042
3432,3042
3432,3365
2802,2231
5443,2231
5443,2802
3365,868
3432,868
868,694
3365,694
4361,764
4361,746
764,746
5396,655
3825,3052
3970,3052
5340,3052
3970,3825
5340,3970
5340,3825
5302,3740
4852,3740
4159,3740
4796,3740
3740,701
4796,701
4796,4159
4852,4796
5302,4796
4852,4159
5302,4159
4159,701
5302,701
4852,701
5302,4852
4753,3740
4753,701
4753,4159
5302,4753
4796,4753
3689,2711
3625,2612
3625,851
2612,851
3722,2454
2711,1187
3157,1187
3012,1187
3157,3012
1756,127
1987,1756
5204,1756
1987,127
5204,1987
5204,127
4620,3904
3904,3496
4620,3496
4620,2737
4620,880
4620,2405
3496,2737
3496,2405
3496,880
2405,880
2737,2405
2737,880
4132,3458
3458,3374
5587,3458
3458,1870
4132,3374
4132,1870
5587,4132
3374,1870
5587,1870
5587,3374
3496,3099
4620,3099
3099,880
4620,1350
3496,1350
1350,880
3838,166
2771,166
204,166
4555,3029
1914,1404
3049,2576
3049,2224
4443,3049
3049,1334
3049,1199
3049,1323
4923,3049
3387,3049
5041,3049
3049,738
4893,3049
3534,3049
4893,1199
4893,3534
4893,3387
4893,1334
4893,738
4893,2224
4893,4443
5041,4893
4923,4893
4893,2576
4893,1323
4923,1334
1334,738
5041,1334
3534,1334
1334,1323
3387,1334
2224,1334
4443,1334
1334,1199
2576,1334
1199,738
4923,738
4443,738
1323,738
2224,738
3534,738
3387,738
5041,738
2576,738
4923,2576
2576,2224
4443,2576
3534,2576
5041,2576
3387,2576
2576,1199
2576,1323
5041,1323
2224,1323
3387,1323
3534,1323
1323,1199
4443,1323
4923,1323
3534,3387
4443,3534
4923,3534
3534,2224
5041,3534
3534,1199
4923,3387
3387,1199
3387,2224
4443,3387
5041,3387
4443,2224
5041,4443
4443,1199
4923,4443
4923,1199
5041,1199
2224,1199
5041,4923
4923,2224
5041,2224
1784,585
1598,539
3750,1701
3750,3605
4401,3750
3750,2141
3605,2141
3605,1701
4401,3605
4401,2141
4401,1701
2141,1701
3799,1220
3799,857
3799,2017
2017,857
1220,857
2017,1220
4450,2740
3299,3115
4598,3115
4598,3299
4708,1135
2362,1667
625,593
2509,625
2509,593
3490,593
3490,625
4883,3307
3281,2229
4231,3281
4231,2229
3589,388
2780,1110
2780,914
3026,2780
3026,914
3026,1110
1110,914
2317,2052
3702,719
4460,1333
3381,1761
1914,1761
2537,1914
3381,2537
3381,1914
4049,2952
4049,3157
3157,2952
4195,1780
4833,1550
4049,1476
3157,1476
3882,1476
4049,3882
2893,1091
5123,3307
5123,4666
4666,3307
4864,4681
4681,1587
4864,1587
4879,4681
4714,4681
4681,4422
4681,47
4879,4422
4879,47
4879,1587
4879,4714
4422,1587
4714,4422
4422,47
1587,47
4714,1587
4714,47
5212,599
1651,599
5006,599
3110,2171
3785,2112
2112,643
3785,643
5627,2839
5627,4716
4716,2839
4755,216
2288,216
4755,2288
5320,2514
5320,4998
5320,1573
4998,2514
4998,1573
2514,1573
2335,124
3090,2335
3090,124
5369,3069
3509,2443
5049,2443
5049,3509
4550,775
4956,1511
1511,886
4956,886
4599,943
1836,19
1836,994
1836,1368
5240,1836
1836,1076
5240,994
5240,1076
5240,19
5240,1368
994,19
1368,19
1076,994
1368,994
1368,1076
3448,2699
3448,962
5125,3448
5125,2699
2699,962
5125,962
4454,1631
1631,351
3831,159
4925,1326
3785,2080
2080,643
651,142
2168,142
5633,142
1311,142
1967,142
5633,1967
2168,1967
1967,651
1967,1311
2168,651
5633,2168
2168,1311
5633,651
1311,651
5633,1311
3295,601
5275,3295
5275,601
3487,1935
650,91
2888,2639
4413,708
2321,1336
4114,2321
2919,2321
4114,2919
2919,1336
4114,1336
4406,854
5270,4865
4865,2162
5270,2162
5359,5149
5149,5122
3973,1800
5337,3335
3347,2776
2575,125
1467,1085
4897,1085
4897,1467
3504,2469
3504,2619
2619,2469
3120,2648
4573,511
4573,3995
3995,511
4559,3550
1856,1042
5007,1856
5007,1042
5620,1355
2279,1355
5620,2279
4889,2867
4889,799
4889,4332
4889,4388
4889,1131
4889,2800
4889,774
4889,3402
4976,4889
4889,1777
4976,799
2867,799
2800,799
4332,799
799,774
3402,799
1131,799
4388,799
1777,799
4388,1777
4388,3402
4388,4332
4388,2867
4388,774
4388,1131
4976,4388
4388,2800
4976,2867
4976,1777
4976,3402
4976,1131
4976,774
4976,2800
4976,4332
3402,2867
4332,3402
3402,2800
3402,1777
3402,1131
3402,774
2867,1131
1131,774
4332,1131
2800,1131
1777,1131
2800,1777
4332,1777
1777,774
2867,1777
2800,774
2867,774
4332,774
2867,2800
4332,2867
4332,2800
2493,173
2353,173
2493,2353
4771,673
3144,2755
4720,1342
2181,1710
5026,1710
5026,2181
2801,2134
4270,2835
4721,2835
4721,4270
2498,1440
4488,1440
3081,1440
4488,2498
4488,3081
3081,2498
644,0
3991,1781
4992,1518
3828,3602
3602,3467
3828,3467
3662,1604
5528,3283
4581,4008
4999,4581
4581,2877
4581,1605
4581,4245
4008,2877
4245,2877
2877,1605
4999,2877
4999,4245
4245,1605
4245,4008
4999,1605
4008,1605
4999,4008
2043,602
4342,2043
2145,2043
4342,602
2145,602
4342,2145
830,748
2836,1410
4811,2836
4811,1410
1574,1238
2030,1973
5553,2531
5553,318
2531,318
5192,1640
4103,1640
4066,1640
4103,4066
5192,4066
5192,4103
4331,1626
1626,537
4331,537
4921,1647
5517,531
5635,4459
5531,2145
2145,1802
5531,1802
2439,1499
2439,881
4472,2439
3036,2439
2439,296
4472,881
4472,296
4472,1499
4472,3036
881,296
1499,881
3036,881
3036,296
1499,296
3036,1499
1956,928
1956,140
1956,532
928,140
928,532
532,140
2682,2604
3181,2395
5515,3181
5515,2395
3383,268
1778,175
3627,1899
2933,1899
3627,2933
2680,1212
2680,2235
4866,2680
4866,1212
4866,2235
2235,1212
4224,1212
2609,1212
1212,1120
4866,4224
4224,1120
4224,2609
4866,2609
4866,1120
2609,1120
4866,4368
1276,536
4866,4399
4866,2463
2463,1212
4399,1212
2609,2463
4399,2463
4399,2609
2887,594
3902,2267
5085,3754
5085,1022
3754,1022
5424,397
679,126
5201,1923
2421,1873
3249,1873
4198,1873
1873,7
1873,1162
2927,1873
4198,3249
4198,2421
4198,7
4198,2927
4198,1162
2421,7
3249,7
1162,7
2927,7
3249,2927
2927,2421
2927,1162
3249,2421
2421,1162
3249,1162
5549,1327
5549,5060
5549,4846
5549,3067
5060,3067
5060,4846
5060,1327
3067,1327
4846,1327
4846,3067
4135,3449
3449,1859
4135,1859
3447,1263
4986,3954
4986,1881
4986,2305
3954,2305
2305,1881
3954,1881
4955,2026
1924,1327
5549,1924
3067,1924
4846,1924
3488,2070
2070,807
3928,2070
2070,1793
3928,3488
3928,1793
3928,807
3488,807
3488,1793
1793,807
5626,1043
5082,1858
4236,1858
4315,1858
3211,1858
1858,1650
5082,3211
4236,3211
3211,1650
4315,3211
5082,4315
4315,4236
4315,1650
5082,1650
4236,1650
5082,4236
4083,1859
4083,122
4126,4083
4377,4083
4135,4083
5303,4083
4083,1832
4083,894
4126,894
4126,1859
4135,4126
5303,4126
4377,4126
4126,122
4126,1832
1832,894
1832,122
5303,1832
1859,1832
4377,1832
4135,1832
5303,4135
5303,4377
5303,122
5303,1859
5303,894
1859,894
4377,894
894,122
4135,894
4377,122
4377,1859
4377,4135
4135,122
1859,122
1237,90
1983,1121
3694,1121
4252,1503
5408,4547
2403,1428
5207,4409
5207,4557
5207,3977
5207,2401
4409,3977
4557,4409
4409,2401
3977,2401
4557,3977
4557,2401
5042,2659
5042,2524
5405,5042
5042,265
5042,2712
5042,2159
5042,1130
5042,3982
5042,2580
3982,2524
3982,265
3982,2159
3982,2659
5405,3982
3982,2712
3982,1130
3982,2580
5405,2159
5405,2712
5405,2524
5405,2580
5405,2659
5405,265
5405,1130
2659,2159
2659,2580
2659,265
2659,1130
2712,2659
2659,2524
2712,2524
2524,265
2524,1130
2524,2159
2580,2524
2712,1130
2712,265
2712,2580
2712,2159
1130,265
2159,1130
2580,1130
2580,2159
2580,265
2159,265
3586,3261
3586,802
5128,5087
5128,4329
5087,4329
5482,78
1432,78
5482,1432
4966,1883
4966,2218
4966,557
2218,1883
2218,557
1883,557
3986,521
3986,398
521,398
5410,2233
3620,2233
2233,611
2233,111
2233,1880
3620,1880
1880,611
5410,1880
1880,111
3620,611
5410,611
611,111
5410,3620
5410,111
3620,111
2830,1111
5108,2830
2830,2813
2857,2830
2857,1111
5108,2857
2857,2813
5108,1111
2813,1111
5108,2813
1637,38
5344,3914
5344,2863
5344,1896
3914,2863
3914,1896
2863,1896
3830,2380
3830,1707
3830,291
2380,1707
2380,291
1707,291
4798,596
4798,2175
2175,596
331,5
1759,331
3748,331
4798,331
1184,331
3441,331
3748,3441
3441,5
4798,3441
3441,1759
3441,1184
4798,3748
3748,1759
3748,5
3748,1184
1759,1184
4798,1759
1759,5
4798,5
4798,1184
1184,5
2323,343
2323,395
5345,2323
2323,479
479,395
479,343
5345,479
5345,395
5345,343
395,343
5432,1919
3846,1423
3271,998
4935,1033
3117,1033
2721,1033
4935,3117
3117,2721
4935,2721
5197,1805
752,466
1576,466
2559,681
4063,2635
3433,3348
5199,3348
5199,3433
3829,1423
5214,499
5214,5000
5000,499
3571,2581
4219,3571
5485,3571
4233,3571
3571,2277
3571,2797
4219,2581
5485,2581
2797,2581
4233,2581
2581,2277
4233,2277
5485,2277
2797,2277
4219,2277
5485,2797
4219,2797
4233,2797
5485,4219
5485,4233
4233,4219
4480,752
2884,482
482,160
4375,482
2884,160
4375,160
4375,2884
3002,35
3002,2076
2076,35
4048,1421
5272,4048
4048,2884
4048,1267
4048,1422
4048,2326
4048,160
5272,2884
2884,1421
2884,2326
2884,1422
2884,1267
5272,2326
2326,1422
2326,160
2326,1267
2326,1421
5272,1421
5272,160
5272,1267
5272,1422
1421,1267
1422,1421
1421,160
1422,160
1267,160
1422,1267
4363,1362
4452,2076
4452,35
4452,3002
3898,2884
3898,160
3898,1421
5447,2829
2767,615
4378,2767
4378,615
4273,3820
4273,399
3820,399
5280,1615
5280,1015
1615,1015
4154,2095
5518,4154
4154,3087
3087,2095
5518,3087
5518,2095
4363,489
1362,489
2660,2096
4151,2660
4151,2096
3819,1264
5518,3819
5518,1264
4363,3417
4027,3417
4363,4027
2244,2088
2557,2088
2557,2244
1095,604
2244,1095
2244,604
720,674
720,49
2958,720
2958,674
2958,49
674,49
4888,2459
4845,2459
4888,4845
1854,1324
1324,627
1854,627
2460,2361
2354,1275
3226,1275
3226,2354
5072,2244
4289,2244
2244,1765
3790,2244
4307,2244
5072,4289
5072,1765
5072,3790
5072,4307
4307,3790
4307,4289
4307,1765
4289,1765
4289,3790
3790,1765
4583,3943
2570,610
3818,3723
4478,3818
4478,3723
4854,2222
4854,394
2222,394
4101,2602
4101,3077
4101,1687
4101,3416
4101,2716
3077,2602
3416,3077
3077,2716
3077,1687
2602,1687
3416,2602
2716,2602
3416,1687
2716,1687
3416,2716
3008,2904
2904,356
4158,2904
2904,1986
3008,356
1986,356
4158,356
3008,1986
4158,1986
4158,3008
3303,1095
5409,1606
4819,1606
2495,1606
5409,2495
4819,2495
5409,4819
2545,240
3454,2142
2862,2142
3454,2862
3006,1933
3006,346
3006,94
346,94
1933,94
1933,346
5406,15
3173,15
5406,3173
4072,1515
3427,1515
1515,1475
4072,3427
3427,1475
4072,1475
4026,2502
4230,2778
4146,3953
5387,3953
3953,1589
5387,4146
4146,1589
5387,1589
5590,1620
1620,469
5590,469
5377,4396
5377,3657
5377,3844
5377,5341
5341,4396
5341,3844
5341,3657
4396,3844
3844,3657
4396,3657
5226,980
2793,1947
4619,1947
4095,1947
4619,2793
4619,4095
4095,2793
4136,2107
1209,1159
3058,2244
3963,150
3753,2480
2672,2480
3753,2672
4971,3343
4971,305
4971,1054
4971,1533
4971,3233
3343,1054
3343,305
3343,3233
3343,1533
1533,1054
3233,1533
1533,305
1054,305
3233,1054
3233,305
1271,487
4506,1271
1391,1271
2589,1271
4772,1271
4772,4506
4772,487
4772,1391
4772,2589
4506,2589
2589,1391
2589,487
4506,487
1391,487
4506,1391
2589,2540
4772,2540
4772,3856
3856,487
4772,1722
1722,1391
1722,487
4772,4197
4197,2540
4197,2589
5253,4197
4197,2526
5253,2540
2540,2526
5253,4772
4772,2526
2589,2526
5253,2589
5253,2526
5271,4772
4040,1196
4772,1072
3856,1271
3856,1391
4506,3856
3856,2589
2540,606
4197,606
4506,606
4772,606
2589,606
4506,4197
4506,2540
4506,2595
4506,1196
4506,3948
2540,487
1196,487
3948,487
2595,487
4772,2595
2595,2540
3948,2595
2595,1196
3948,2540
2540,1196
4772,3948
4772,1196
3948,1196
4785,2808
2808,1107
4785,1107
1359,115
4021,115
4215,115
2261,115
1510,115
4215,1359
1510,1359
2261,1359
4021,1359
4215,2261
4215,4021
4215,1510
4021,2261
4021,1510
2261,1510
4318,321
5530,321
5210,321
3763,321
5530,5210
5210,3763
5210,4318
4318,3763
5530,3763
5530,4318
5614,4215
5614,2261
5614,4021
4271,2316
5224,1359
5224,2261
5224,3234
5224,4021
5614,5224
5224,4344
5224,4215
5224,115
5614,4344
4344,2261
4344,4021
4344,1359
4344,115
4344,4215
4344,3234
3234,2261
4215,3234
5614,115
5614,3234
5614,1359
4021,3234
3234,1359
3234,115
5259,115
5259,1359
5259,4021
5259,1510
5259,4215
3771,186
3394,282
5614,5259
5259,2261
5283,4957
4957,3676
5283,3676
5602,2306
2055,1976
3311,3148
4239,2815
4239,3078
3078,2815
5590,3319
3319,608
5590,608
5218,804
5218,933
933,804
2021,1734
2837,2732
3729,2837
3729,2732
1657,817
4578,2255
2745,2255
4207,2255
4578,2745
4578,4207
4207,2745
4084,3063
3063,1770
5260,3063
3063,1223
4084,1770
4084,1223
5260,4084
5260,1223
5260,1770
1770,1223
2743,996
4633,2743
5533,2743
2743,1059
2743,981
4279,2743
2743,2534
2743,1170
5025,2743
3395,2743
2743,2529
4129,2743
2743,2057
2743,502
5533,4633
5533,502
5533,1059
5533,2534
5533,2057
5533,981
5533,4279
5533,2529
5533,3395
5533,4129
5533,996
5533,5025
5533,1170
3395,502
4129,502
4279,502
5025,502
996,502
1170,502
1059,502
4633,502
2057,502
981,502
2529,502
2534,502
2534,2529
2534,981
4279,2534
5025,2534
3395,2534
2534,1059
4633,2534
2534,996
2534,2057
2534,1170
4129,2534
3395,996
5025,996
4633,996
1170,996
1059,996
4129,996
996,981
4279,996
2057,996
2529,996
1059,981
5025,981
4129,981
3395,981
1170,981
4633,981
4279,981
2529,981
2057,981
5025,3395
3395,1059
3395,1170
4279,3395
4633,3395
4129,3395
3395,2057
3395,2529
5025,4633
5025,2529
5025,4129
5025,1170
5025,1059
5025,4279
5025,2057
4633,1170
4279,1170
4129,1170
2057,1170
2529,1170
1170,1059
4279,1059
4129,1059
2057,1059
4633,1059
2529,1059
4129,2057
4279,2057
2529,2057
4633,2057
4633,4279
4633,2529
4633,4129
4279,4129
4279,2529
4129,2529
3577,3078
4150,1002
4020,1002
4150,4020
4850,1557
660,162
4525,351
4525,4381
5166,5038
5166,632
5038,632
5494,901
4016,3319
5460,3319
5460,4016
1794,485
1936,937
2610,937
2610,1936
5014,4278
5140,4362
4941,254
4201,2503
4246,2503
4246,4201
5457,5208
5457,4431
5208,4431
5081,2341
2341,1635
2932,2341
2341,439
2341,368
5081,368
5081,439
5081,1635
5081,2932
1635,368
2932,368
439,368
1635,439
2932,439
2932,1635
4431,2428
2428,1704
2428,2023
4431,1704
2023,1704
4431,2023
4431,2016
556,267
4431,556
4431,267
2428,1944
5322,2428
2428,2016
2023,2016
2016,1944
2016,1704
5322,2016
5322,4431
4431,1944
5322,1704
1944,1704
2023,1944
5322,1944
5322,2023
4431,3679
4978,4431
4978,267
4978,3679
4978,556
3679,556
3679,267
5445,2300
3889,2300
2773,2300
5445,2773
3889,2773
5445,3889
5542,1786
5542,4374
4374,1786
5490,3552
4638,3814
5333,3210
4310,1754
3156,1213
1829,29
3805,289
5534,289
3240,289
5534,3805
3805,3240
5534,3240
4496,4213
2297,1195
5506,2727
3815,3586
5006,3815
5212,3815
5212,3586
5006,3586
1916,850
5422,1505
3429,1505
5422,3429
1041,852
3048,1293
5487,3048
4535,3048
4535,1293
5487,4535
5487,1293
4847,1882
3127,491
4680,380
4185,3349
3127,638
638,491
4316,2358
4316,2554
4316,2658
2658,2358
2658,2554
2554,2358
621,592
5075,592
5075,621
2593,1932
2744,2593
2593,2546
2546,1932
2744,1932
2744,2546
3902,645
645,39
3902,39
1325,723
4692,723
5428,723
5428,1325
4692,1325
5428,4692
2131,909
4558,2131
4932,2131
5503,2131
2131,612
4932,4558
4932,909
4932,612
5503,4932
4558,909
4558,612
5503,4558
5503,909
5503,612
909,612
861,283
5428,1383
1383,723
5402,1375
4651,3588
5116,4651
4651,1244
5116,1244
3588,1244
5116,3588
1662,1113
3957,1113
4665,1113
3664,1113
3664,1662
3957,1662
4665,1662
4665,3664
4665,3957
3957,3664
4311,2726
5230,2726
5230,4311
1383,1325
4692,1383
1644,612
4932,1644
1644,909
4558,1644
5503,1644
2461,1644
2131,1644
4932,2461
2461,612
2461,909
2461,2131
4558,2461
5503,2461
1239,909
909,723
4932,723
2131,723
1239,723
723,612
5503,723
4558,723
1239,612
5503,1239
2131,1239
4558,1239
4932,1239
2972,333
5621,2972
5621,333
4652,3703
780,472
472,182
472,377
3735,472
472,11
4092,472
4092,182
182,11
377,182
3735,182
780,182
4092,780
3735,780
780,377
780,11
3735,377
4092,377
377,11
4092,3735
3735,11
4092,11
3694,861
3694,283
3022,1366
4837,4204
4922,4837
4837,339
4837,4791
4837,2419
4837,3435
4922,2419
2419,339
4791,2419
3435,2419
4204,2419
4204,339
3435,339
4791,339
4922,339
4791,4204
4922,4204
4204,3435
4791,3435
4922,3435
4922,4791
3971,229
3854,2121
4951,2713
3076,2713
4951,3076
4751,748
839,748
3998,748
4751,839
3998,839
839,830
4751,830
3998,830
4751,3998
4674,2733
3337,2387
4285,4086
3847,644
4115,1222
4115,3309
3309,1222
5135,2121
4157,488
5487,488
5487,4157
3317,2734
4322,2408
2734,692
2734,684
2734,1268
692,684
1268,692
1268,684
4321,1461
4321,1123
4321,2236
5560,4321
4321,1663
5386,4321
2236,1461
2236,1663
5560,2236
2236,1123
5386,2236
5560,1461
1461,1123
5386,1461
1663,1461
5560,1663
5386,1663
1663,1123
5386,1123
5560,5386
